,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
179,10002172358.Krt14,black,liver,,NO,Krt14,,1,SIGNED
180,510776.Gnptab,black,liver,,NO,Gnptab,,1,SIGNED
181,497652.Tle2,black,liver,,NO,Tle2,,1,SIGNED
182,513476.Nbea,black,liver,,NO,Nbea,,1,SIGNED
183,10002945962.Pea15a,black,liver,,NO,Pea15a,,1,SIGNED
184,10002925054.Gm13543,black,liver,,NO,Gm13543,,1,SIGNED
185,10004035394.Olfr213,black,liver,,NO,Olfr213,,1,SIGNED
186,10002922343.Gm44320,black,liver,,NO,Gm44320,,1,SIGNED
187,517672.Actl11,black,liver,,NO,Actl11,,1,SIGNED
188,509949.Nxf7,black,liver,,NO,Nxf7,,1,SIGNED
189,10002934091.Gm48123,black,liver,,NO,Gm48123,,1,SIGNED
190,10003841957.Patl1,black,liver,,NO,Patl1,,1,SIGNED
191,10004037883.Cdhr4,black,liver,,NO,Cdhr4,,1,SIGNED
192,10004037983.Paqr3,black,liver,,NO,Paqr3,,1,SIGNED
193,1015447.Col6a2,black,liver,,NO,Col6a2,,1,SIGNED
194,10003837753.Gm48396,black,liver,,NO,Gm48396,,1,SIGNED
195,10002913243.Spsb1,black,liver,,NO,Spsb1,,1,SIGNED
196,512281.Crygf,black,liver,,NO,Crygf,,1,SIGNED
197,10003837358.Akp-ps1,black,liver,,NO,Akp-ps1,,1,SIGNED
198,515755.Gm47646,black,liver,,NO,Gm47646,,1,SIGNED
199,10003839632.Chadl,black,liver,,NO,Chadl,,1,SIGNED
200,510342.Zfp819,black,liver,,NO,Zfp819,,1,SIGNED
201,10002924987.Olfr364-ps1,black,liver,,NO,Olfr364-ps1,,1,SIGNED
202,10003838040.4930413E15Rik,black,liver,,NO,4930413E15Rik,,1,SIGNED
203,10003843136.Pcgf2,black,liver,,NO,Pcgf2,,1,SIGNED
204,10002910847.Camk4,black,liver,,NO,Camk4,,1,SIGNED
205,1480173.Timp1,black,liver,,NO,Timp1,,1,SIGNED
206,510974.Krt5,black,liver,,NO,Krt5,,1,SIGNED
207,10003841992.H2-Q5,black,liver,,NO,H2-Q5,,1,SIGNED
208,10003836516.Gm44403,black,liver,,NO,Gm44403,,1,SIGNED
209,10002948239.Optn,black,liver,,NO,Optn,,1,SIGNED
210,10002919069.Wfdc5,black,liver,,NO,Wfdc5,,1,SIGNED
211,507854.4930527A07Rik,black,liver,,NO,4930527A07Rik,,1,SIGNED
212,10003118610.Mir451a,black,liver,,NO,Mir451a,,1,SIGNED
213,10002914896.Gm4808,black,liver,,NO,Gm4808,,1,SIGNED
214,10002924243.Gm12414,black,liver,,NO,Gm12414,,1,SIGNED
215,10003839061.Ebf1,black,liver,,NO,Ebf1,,1,SIGNED
216,10002914796.Tstd2,black,liver,,NO,Tstd2,,1,SIGNED
217,10004037563.Ccdc88b,black,liver,,NO,Ccdc88b,,1,SIGNED
218,510357.1700017M07Rik,black,liver,,NO,1700017M07Rik,,1,SIGNED
219,10003836245.4932435O22Rik,black,liver,,NO,4932435O22Rik,,1,SIGNED
220,512659.Lck,black,liver,,NO,Lck,,1,SIGNED
221,10004035910.Naip6,black,liver,,NO,Naip6,,1,SIGNED
222,10003844570.4930554G24Rik,black,liver,,NO,4930554G24Rik,,1,SIGNED
223,10002934882.Slc18b1,black,liver,,NO,Slc18b1,,1,SIGNED
224,10003839329.Ftdc1,black,liver,,NO,Ftdc1,,1,SIGNED
225,10004033408.Hrh4,black,liver,,NO,Hrh4,,1,SIGNED
226,10003840399.Gm44634,black,liver,,NO,Gm44634,,1,SIGNED
227,10003838639.Igkv4-92,black,liver,,NO,Igkv4-92,,1,SIGNED
228,10002947848.4933433H22Rik,black,liver,,NO,4933433H22Rik,,1,SIGNED
229,10002678647.Pcdhb10,black,liver,,NO,Pcdhb10,,1,SIGNED
230,10002936380.Gm14062,black,liver,,NO,Gm14062,,1,SIGNED
231,1483526.Zmynd10,black,liver,,NO,Zmynd10,,1,SIGNED
232,10002935007.Gm25382,black,liver,,NO,Gm25382,,1,SIGNED
233,10004035706.Olfr1126,black,liver,,NO,Olfr1126,,1,SIGNED
234,10002923253.2210406O10Rik,black,liver,,NO,2210406O10Rik,,1,SIGNED
235,10004035963.Krt9,black,liver,,NO,Krt9,,1,SIGNED
236,498964.Zfp57,black,liver,,NO,Zfp57,,1,SIGNED
237,10002911887.Slc38a6,black,liver,,NO,Slc38a6,,1,SIGNED
238,10004033490.Oc90,black,liver,,NO,Oc90,,1,SIGNED
239,500539.Chmp4c,black,liver,,NO,Chmp4c,,1,SIGNED
240,10002904003.Gm8844,black,liver,,NO,Gm8844,,1,SIGNED
241,10004035006.3830417A13Rik,black,liver,,NO,3830417A13Rik,,1,SIGNED
242,504810.1700094M23Rik,black,liver,,NO,1700094M23Rik,,1,SIGNED
243,10002919503.Pycr1,black,liver,,NO,Pycr1,,1,SIGNED
244,506488.Ppfia4,black,liver,,NO,Ppfia4,,1,SIGNED
245,507776.Atp6v0a1,black,liver,,NO,Atp6v0a1,,1,SIGNED
246,512977.Kcnk2,black,liver,,NO,Kcnk2,,1,SIGNED
247,10002935984.Gm42922,black,liver,,NO,Gm42922,,1,SIGNED
248,10003837603.A330093E20Rik,black,liver,,NO,A330093E20Rik,,1,SIGNED
249,10002943387.Egfem1,black,liver,,NO,Egfem1,,1,SIGNED
250,10002949267.Cenpn,black,liver,,NO,Cenpn,,1,SIGNED
251,516104.Olfr889,black,liver,,NO,Olfr889,,1,SIGNED
252,10003845063.Gm44399,black,liver,,NO,Gm44399,,1,SIGNED
253,506798.Pabpc4l,black,liver,,NO,Pabpc4l,,1,SIGNED
254,10002901391.Megf9,black,liver,,NO,Megf9,,1,SIGNED
255,10004038420.Bcl7c,black,liver,,NO,Bcl7c,,1,SIGNED
256,508142.Galnt2l,black,liver,,NO,Galnt2l,,1,SIGNED
257,10003837051.Gm15361,black,liver,,NO,Gm15361,,1,SIGNED
258,508690.1700054A03Rik,black,liver,,NO,1700054A03Rik,,1,SIGNED
259,10002931680.Gm26111,black,liver,,NO,Gm26111,,1,SIGNED
260,10002908276.Ighv1-4,black,liver,,NO,Ighv1-4,,1,SIGNED
261,10004034989.Iqgap3,black,liver,,NO,Iqgap3,,1,SIGNED
262,10004037268.Olfr1168,black,liver,,NO,Olfr1168,,1,SIGNED
263,10003842205.Farp1,black,liver,,NO,Farp1,,1,SIGNED
264,10004035381.Olfr353,black,liver,,NO,Olfr353,,1,SIGNED
265,10002919692.Gm24993,black,liver,,NO,Gm24993,,1,SIGNED
266,10004035608.Lin28b,black,liver,,NO,Lin28b,,1,SIGNED
267,10003844561.Col23a1,black,liver,,NO,Col23a1,,1,SIGNED
268,10003837488.C330008A17Rik,black,liver,,NO,C330008A17Rik,,1,SIGNED
269,10004035024.Dusp11,black,liver,,NO,Dusp11,,1,SIGNED
270,10004034365.Gm11501,black,liver,,NO,Gm11501,,1,SIGNED
271,10003840132.AA545190,black,liver,,NO,AA545190,,1,SIGNED
272,10002915164.Ruvbl2,black,liver,,NO,Ruvbl2,,1,SIGNED
273,10002948004.Gm9991,black,liver,,NO,Gm9991,,1,SIGNED
274,10002908308.Bola2,black,liver,,NO,Bola2,,1,SIGNED
275,516537.Reg3a,black,liver,,NO,Reg3a,,1,SIGNED
276,10004036134.Sirt3,black,liver,,NO,Sirt3,,1,SIGNED
277,10003838175.Vmn1r2,black,liver,,NO,Vmn1r2,,1,SIGNED
278,499649.1110046J04Rik,black,liver,,NO,1110046J04Rik,,1,SIGNED
279,502788.4930423D24Rik,black,liver,,NO,4930423D24Rik,,1,SIGNED
280,10003838299.Chn1os3,black,liver,,NO,Chn1os3,,1,SIGNED
