,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
106,10002896248.Adgre4,black,liver,,NO,Adgre4,,1,UNSIGNED
107,501761.Clec7a,black,liver,,NO,Clec7a,,1,UNSIGNED
108,10002919018.Vsig4,black,liver,,NO,Vsig4,,1,UNSIGNED
109,509324.Il10rb,black,liver,,NO,Il10rb,,1,UNSIGNED
110,10002913583.Dse,black,liver,,NO,Dse,,1,UNSIGNED
111,501419.Tlr2,black,liver,,NO,Tlr2,,1,UNSIGNED
112,10002172529.Ccl5,black,liver,,NO,Ccl5,,1,UNSIGNED
113,518083.Cd48,black,liver,,NO,Cd48,,1,UNSIGNED
114,10002678138.P2ry6,black,liver,,NO,P2ry6,,1,UNSIGNED
115,503314.Clec4f,black,liver,,NO,Clec4f,,1,UNSIGNED
116,10002915812.Was,black,liver,,NO,Was,,1,UNSIGNED
117,10004035839.Oas1g,black,liver,,NO,Oas1g,,1,UNSIGNED
118,503034.Abcg1,black,liver,,NO,Abcg1,,1,UNSIGNED
119,10002901720.Il18bp,black,liver,,NO,Il18bp,,1,UNSIGNED
120,10002905284.Fcgr4,black,liver,,NO,Fcgr4,,1,UNSIGNED
121,1012063.Ptgs1,black,liver,,NO,Ptgs1,,1,UNSIGNED
122,516996.Csf2rb2,black,liver,,NO,Csf2rb2,,1,UNSIGNED
123,501676.Wdfy4,black,liver,,NO,Wdfy4,,1,UNSIGNED
124,10002917477.Rtp4,black,liver,,NO,Rtp4,,1,UNSIGNED
125,506303.Tmsb4x,black,liver,,NO,Tmsb4x,,1,UNSIGNED
126,503814.Gpr65,black,liver,,NO,Gpr65,,1,UNSIGNED
127,506529.Cxcl9,black,liver,,NO,Cxcl9,,1,UNSIGNED
128,502437.Marcks,black,liver,,NO,Marcks,,1,UNSIGNED
129,505695.Cd274,black,liver,,NO,Cd274,,1,UNSIGNED
130,10003836148.Gm9025,black,liver,,NO,Gm9025,,1,UNSIGNED
131,497774.Dock11,black,liver,,NO,Dock11,,1,UNSIGNED
132,10002904668.Rnf213,black,liver,,NO,Rnf213,,1,UNSIGNED
133,508307.Clec10a,black,liver,,NO,Clec10a,,1,UNSIGNED
134,506869.Lgals3bp,black,liver,,NO,Lgals3bp,,1,UNSIGNED
135,1482953.Gm28002,black,liver,,NO,Gm28002,,1,UNSIGNED
136,516885.Clec4a3,black,liver,,NO,Clec4a3,,1,UNSIGNED
137,512279.Myof,black,liver,,NO,Myof,,1,UNSIGNED
138,514301.Gng2,black,liver,,NO,Gng2,,1,UNSIGNED
139,10002906976.Frmd4a,black,liver,,NO,Frmd4a,,1,UNSIGNED
140,10004036912.Rnf180,black,liver,,NO,Rnf180,,1,UNSIGNED
141,508617.Slc7a8,black,liver,,NO,Slc7a8,,1,UNSIGNED
142,506674.P2ry12,black,liver,,NO,P2ry12,,1,UNSIGNED
143,503817.Cyba,black,liver,,NO,Cyba,,1,UNSIGNED
144,507336.Gbp9,black,liver,,NO,Gbp9,,1,UNSIGNED
145,515318.Stat1,black,liver,,NO,Stat1,,1,UNSIGNED
146,1015165.Lgals3,black,liver,,NO,Lgals3,,1,UNSIGNED
147,513545.Lgmn,black,liver,,NO,Lgmn,,1,UNSIGNED
148,10002678592.H2-Q7,black,liver,,NO,H2-Q7,,1,UNSIGNED
149,503031.Irgm2,black,liver,,NO,Irgm2,,1,UNSIGNED
150,10002678804.Tnfaip8,black,liver,,NO,Tnfaip8,,1,UNSIGNED
151,502827.Rab31,black,liver,,NO,Rab31,,1,UNSIGNED
152,519805.Ifit3,black,liver,,NO,Ifit3,,1,UNSIGNED
153,501091.Trim30a,black,liver,,NO,Trim30a,,1,UNSIGNED
154,499221.Cd5l,black,liver,,NO,Cd5l,,1,UNSIGNED
155,516347.Adar,black,liver,,NO,Adar,,1,UNSIGNED
156,500933.Filip1l,black,liver,,NO,Filip1l,,1,UNSIGNED
157,504825.Lpxn,black,liver,,NO,Lpxn,,1,UNSIGNED
158,506246.Ms4a6d,black,liver,,NO,Ms4a6d,,1,UNSIGNED
159,10002914581.Il2rb,black,liver,,NO,Il2rb,,1,UNSIGNED
160,10002917669.Otulinl,black,liver,,NO,Otulinl,,1,UNSIGNED
161,509721.Irf1,black,liver,,NO,Irf1,,1,UNSIGNED
162,10002900358.Rab7b,black,liver,,NO,Rab7b,,1,UNSIGNED
163,510671.Gbp2,black,liver,,NO,Gbp2,,1,UNSIGNED
164,10002917199.Dock11,black,liver,,NO,Dock11,,1,UNSIGNED
165,10002918572.Clec4a1,black,liver,,NO,Clec4a1,,1,UNSIGNED
166,10002905080.Arhgap15,black,liver,,NO,Arhgap15,,1,UNSIGNED
167,502996.Gm9025,black,liver,,NO,Gm9025,,1,UNSIGNED
168,516904.Ncf4,black,liver,,NO,Ncf4,,1,UNSIGNED
169,498701.Irf7,black,liver,,NO,Irf7,,1,UNSIGNED
170,10002917548.Fcgr3,black,liver,,NO,Fcgr3,,1,UNSIGNED
171,509819.Cxcl10,black,liver,,NO,Cxcl10,,1,UNSIGNED
172,504316.Ms4a6c,black,liver,,NO,Ms4a6c,,1,UNSIGNED
173,501525.Ifit1,black,liver,,NO,Ifit1,,1,UNSIGNED
174,502345.Parp9,black,liver,,NO,Parp9,,1,UNSIGNED
175,10002911419.Dtx3l,black,liver,,NO,Dtx3l,,1,UNSIGNED
176,10002905760.Ifi27l2a,black,liver,,NO,Ifi27l2a,,1,UNSIGNED
177,10002915225.Unc93b1,black,liver,,NO,Unc93b1,,1,UNSIGNED
178,506656.Sema6d,black,liver,,NO,Sema6d,,1,UNSIGNED
