,0
"('adipose', 'UNSIGNED', 'turquoise')",22.236826331397964
"('kidney', 'SIGNED', 'cyan')",24.343242831149084
"('adipose', 'UNSIGNED', 'thistle2')",26.632808685713417
"('adipose', 'UNSIGNED', 'thistle1')",25.963522822045814
"('adipose', 'UNSIGNED', 'white')",26.207979219713433
"('kidney', 'SIGNED', 'black')",23.343021813220027
"('kidney', 'SIGNED', 'maroon')",25.862137441304654
"('kidney', 'SIGNED', 'lightgreen')",25.77208604156963
"('kidney', 'SIGNED', 'navajowhite2')",27.555458635403934
"('kidney', 'SIGNED', 'darkred')",26.793142192112985
"('kidney', 'SIGNED', 'mediumpurple3')",26.095392682114237
"('kidney', 'SIGNED', 'ivory')",25.07089487001094
"('kidney', 'SIGNED', 'lightpink4')",28.77821651882586
"('kidney', 'SIGNED', 'lightcyan1')",27.445661705400482
"('kidney', 'SIGNED', 'lightsteelblue1')",22.475548051812584
"('kidney', 'SIGNED', 'darkslateblue')",26.508766837404067
"('kidney', 'SIGNED', 'lightcyan')",23.692953379097663
"('kidney', 'SIGNED', 'magenta')",25.402366626923705
"('kidney', 'SIGNED', 'darkorange2')",26.526819360339758
"('kidney', 'SIGNED', 'midnightblue')",21.022714404413172
"('kidney', 'SIGNED', 'greenyellow')",22.58522226530907
"('kidney', 'SIGNED', 'grey60')",22.380626320894635
"('kidney', 'SIGNED', 'lightyellow')",29.34542635757425
"('kidney', 'SIGNED', 'green')",26.087868022837295
"('kidney', 'SIGNED', 'floralwhite')",24.00240570983943
"('kidney', 'SIGNED', 'darkturquoise')",24.311602682675645
"('kidney', 'SIGNED', 'thistle1')",21.051624421106723
"('kidney', 'SIGNED', 'salmon')",22.185444709783933
"('kidney', 'SIGNED', 'tan')",23.166963173470144
"('kidney', 'SIGNED', 'purple')",22.766753895392927
"('kidney', 'SIGNED', 'orangered4')",24.842628618431235
"('kidney', 'SIGNED', 'red')",24.47593733473925
"('kidney', 'SIGNED', 'saddlebrown')",24.136530058363704
"('kidney', 'SIGNED', 'skyblue')",24.69705104980851
"('kidney', 'SIGNED', 'paleturquoise')",28.652191743536452
"('kidney', 'SIGNED', 'orange')",22.856376702986044
"('kidney', 'SIGNED', 'sienna3')",24.264335813626122
"('kidney', 'SIGNED', 'palevioletred3')",26.398033030395577
"('kidney', 'SIGNED', 'steelblue')",23.66496038270615
"('kidney', 'SIGNED', 'skyblue3')",26.86933800183865
"('kidney', 'SIGNED', 'royalblue')",25.86380330900307
"('kidney', 'SIGNED', 'plum2')",26.653497438967435
"('kidney', 'SIGNED', 'salmon4')",25.84237027442566
"('kidney', 'SIGNED', 'plum1')",27.233921021178904
"('kidney', 'SIGNED', 'thistle2')",23.097413816929404
"('kidney', 'SIGNED', 'pink')",22.02750158590575
"('kidney', 'SIGNED', 'white')",25.59975377677977
"('kidney', 'UNSIGNED', 'coral3')",27.035672500545406
"('kidney', 'UNSIGNED', 'brown')",26.179874925499824
"('kidney', 'UNSIGNED', 'coral1')",26.56686152163184
"('kidney', 'UNSIGNED', 'bisque4')",26.4672235373072
"('kidney', 'UNSIGNED', 'cyan')",26.49027342532116
"('kidney', 'UNSIGNED', 'black')",24.77797556805796
"('kidney', 'UNSIGNED', 'coral')",27.85632953163458
"('kidney', 'UNSIGNED', 'darkgreen')",25.502504997918944
"('kidney', 'SIGNED', 'violet')",26.264943383164457
"('kidney', 'UNSIGNED', 'antiquewhite2')",26.853776130787182
"('kidney', 'UNSIGNED', 'brown2')",24.011011338302126
"('kidney', 'SIGNED', 'yellowgreen')",25.328543237467745
"('kidney', 'UNSIGNED', 'antiquewhite4')",24.860339885797103
"('kidney', 'UNSIGNED', 'brown4')",26.0170247027585
