,tissue,network,module,glucose,weight,insulin,triglyceride,mean
202,liver,UNSIGNED,navajowhite1,27,11.2,175,48.4,65.4
203,liver,UNSIGNED,orangered4,26.3,11.6,164.6,48.4,62.7
204,liver,UNSIGNED,lightsteelblue1,27.1,11,160.2,45.3,60.9
205,liver,UNSIGNED,orange,27.2,10.8,163.8,49.4,62.8
206,liver,UNSIGNED,midnightblue,27,11.6,154.5,51.1,61.1
207,liver,UNSIGNED,lightyellow,27.8,11.5,176.7,49.4,66.4
208,liver,UNSIGNED,magenta4,25.1,11.4,137.1,47.8,55.3
209,liver,UNSIGNED,mediumorchid,27.4,10.4,151.6,42.7,58
210,liver,UNSIGNED,palevioletred2,28,10.4,161.9,49.6,62.5
211,liver,UNSIGNED,palevioletred3,27,11.4,152.7,50.7,60.4
212,liver,UNSIGNED,paleturquoise,24.6,11.4,163,42.2,60.3
213,liver,UNSIGNED,maroon,26.4,11.2,162.1,48.2,62
214,liver,UNSIGNED,magenta,25,10.8,141.7,40.6,54.5
215,liver,UNSIGNED,mediumpurple3,26.1,11.2,133.2,44.5,53.8
216,liver,UNSIGNED,plum1,25.5,10.6,135.8,42.4,53.5
217,liver,UNSIGNED,navajowhite2,25.7,11.4,161.3,46.5,61.2
218,liver,UNSIGNED,pink,27.4,12.1,156.5,53.9,62.5
219,liver,UNSIGNED,salmon2,27.1,10.7,135.1,43.6,54.1
220,liver,UNSIGNED,salmon4,27.7,11.4,144.9,49.7,58.4
221,liver,UNSIGNED,skyblue1,27.5,10.1,172.2,45.4,63.8
222,liver,UNSIGNED,thistle1,27.5,11.2,168.8,51.3,64.7
223,liver,UNSIGNED,steelblue,23.3,10.1,130.7,43.3,51.9
224,liver,UNSIGNED,skyblue,25.9,11.3,154.4,45.9,59.4
225,liver,UNSIGNED,red,27.2,11.4,168,52.8,64.8
226,liver,UNSIGNED,thistle,26.5,11.4,156.2,44.4,59.6
227,liver,UNSIGNED,plum2,26.9,11,162.6,51.6,63
228,liver,UNSIGNED,thistle2,26.3,10.6,141.5,46.7,56.3
229,liver,UNSIGNED,royalblue,25.6,10.2,140.7,39.6,54
230,liver,UNSIGNED,plum3,26.3,11.2,174.3,47.7,64.9
231,liver,UNSIGNED,tan,27.3,11.1,160.6,50.6,62.4
232,liver,UNSIGNED,thistle3,26.6,11.3,159.6,49.4,61.7
233,liver,UNSIGNED,saddlebrown,24.8,10.7,149.4,46.8,57.9
234,liver,UNSIGNED,sienna3,25.6,10.9,155.1,47.5,59.8
235,liver,UNSIGNED,skyblue2,25.4,11.1,141.8,43.5,55.4
236,liver,UNSIGNED,purple,28.2,11.4,153.6,54.8,62
237,liver,UNSIGNED,skyblue3,23.9,10.5,135.8,40,52.5
238,liver,UNSIGNED,salmon,27.1,11.4,175.9,51.2,66.4
239,liver,UNSIGNED,yellowgreen,25.4,10.4,171.9,46.7,63.6
240,adipose,SIGNED,darkgrey,26.7,11.1,192,48.6,69.6
241,adipose,SIGNED,cyan,23.6,10.1,137.5,36.7,52
242,liver,UNSIGNED,violet,28.8,11.4,171.6,50.1,65.5
243,adipose,SIGNED,darkolivegreen,25.4,10.1,171.2,43.5,62.5
244,adipose,SIGNED,darkmagenta,25.2,10.3,154.5,42.4,58.1
245,liver,UNSIGNED,yellow4,28.1,10.8,146.8,46.3,58
246,adipose,SIGNED,brown4,24.6,10.1,164.3,40.5,59.9
247,adipose,SIGNED,darkorange2,27.5,10.2,177,43.9,64.6
248,adipose,SIGNED,darkorange,25.8,10.9,170.7,41.3,62.2
249,liver,UNSIGNED,yellow,26.9,10.7,130.7,48.1,54.1
250,liver,UNSIGNED,white,27.2,11,168.1,54,65.1
251,adipose,SIGNED,darkgreen,23.9,10.2,137.3,36.8,52.1
252,adipose,SIGNED,bisque4,22.3,10.7,135.3,34.8,50.8
253,adipose,SIGNED,black,25.8,10.6,183,42.8,65.6
254,adipose,SIGNED,brown,26.5,9.3,128.6,37.4,50.4
255,adipose,SIGNED,blue,24.6,9.9,146,41.1,55.4
256,liver,UNSIGNED,turquoise,24.4,11.2,107.7,39.5,45.7
257,liver,UNSIGNED,grey,26.3,11.7,147,51,59
258,adipose,SIGNED,lightpink4,24.7,10.4,138.8,46.2,55
259,adipose,SIGNED,darkturquoise,22.4,9.6,127.8,34.7,48.6
260,adipose,SIGNED,lavenderblush3,28.4,11,170,50.7,65
261,adipose,SIGNED,maroon,25.3,10.3,171.3,43.7,62.6
262,adipose,SIGNED,lightcyan1,26.3,11.4,187.9,48.5,68.5
263,adipose,SIGNED,mediumpurple3,25.7,11.4,176.8,45.2,64.8
264,adipose,SIGNED,lightsteelblue1,25.1,11.7,134.5,44.7,54
265,adipose,SIGNED,floralwhite,25.8,10.7,123,42.9,50.6
266,adipose,SIGNED,grey60,24.9,9.8,172.7,42.5,62.5
267,adipose,SIGNED,lightgreen,26.4,11.1,162.7,48.8,62.3
268,adipose,SIGNED,navajowhite2,25.6,10.8,177.9,46.6,65.2
269,adipose,SIGNED,ivory,27.6,10.7,166.9,44.8,62.5
270,adipose,SIGNED,darkred,24.3,10.3,161.8,37.6,58.5
271,adipose,SIGNED,lightcyan,25.5,10.9,191.4,43.6,67.8
272,adipose,SIGNED,lightyellow,24.1,10.5,154.5,39.2,57.1
273,adipose,SIGNED,midnightblue,23.9,10,110.3,35.8,45
274,adipose,SIGNED,darkslateblue,26.3,10.9,162.2,43.9,60.8
275,adipose,SIGNED,magenta,21.1,9.4,79.2,34.3,36
276,adipose,SIGNED,greenyellow,23.6,9.8,125.7,35.5,48.7
277,adipose,SIGNED,green,24,9.8,147.5,40.3,55.4
278,adipose,SIGNED,skyblue,23.7,10.6,156.6,41.9,58.2
279,adipose,SIGNED,plum2,26.5,11.7,187.2,42.5,67
280,adipose,SIGNED,skyblue3,27,10.8,156.6,46.6,60.2
281,adipose,SIGNED,thistle2,27.1,10.6,167.3,47.6,63.2
282,adipose,SIGNED,steelblue,24.6,10.2,155.5,45,58.8
283,adipose,SIGNED,paleturquoise,22.4,9.7,138.5,36.5,51.8
284,adipose,SIGNED,thistle1,27,11.1,158.3,49.5,61.5
285,adipose,SIGNED,saddlebrown,24,10.9,168.1,43.7,61.6
286,adipose,SIGNED,plum1,26.3,10.7,169.9,49.2,64
287,adipose,SIGNED,orangered4,22.7,9.3,128.9,42.6,50.9
288,adipose,SIGNED,salmon4,23.7,11.4,151.9,40.2,56.8
289,adipose,SIGNED,sienna3,22.8,9.2,129.1,39.1,50
290,adipose,SIGNED,purple,23.1,9.1,139.1,37,52.1
291,adipose,SIGNED,royalblue,24.6,9.6,118,36.3,47.1
292,adipose,SIGNED,salmon,25.3,10.9,148.8,46,57.7
293,adipose,SIGNED,orange,22.5,9.8,96.2,38.9,41.8
294,adipose,SIGNED,pink,22.2,9.2,121.6,34.9,47
295,adipose,SIGNED,tan,19.9,9.7,101,36.5,41.8
296,adipose,SIGNED,red,22.4,9.6,129.8,36.7,49.6
297,adipose,SIGNED,palevioletred3,25.7,10.9,168.1,50.3,63.8
298,adipose,UNSIGNED,antiquewhite4,29.6,10.4,129.2,45,53.6
299,adipose,UNSIGNED,darkolivegreen,24.8,10.5,141.2,42,54.7
300,adipose,UNSIGNED,coral2,24.8,11,166.7,45.5,62
301,adipose,UNSIGNED,bisque4,22.8,11.3,156.1,38.8,57.3
302,adipose,UNSIGNED,darkgreen,25.3,10.7,146.6,43.6,56.5
303,adipose,UNSIGNED,darkgrey,23.6,9.9,127.6,38.3,49.9
304,adipose,SIGNED,yellowgreen,24.9,10.3,161.7,43.7,60.1
305,adipose,UNSIGNED,brown4,26.1,10.6,164.9,47.5,62.3
306,adipose,UNSIGNED,coral1,25.3,10.8,159.1,49.9,61.3
307,adipose,UNSIGNED,cyan,24.4,10.5,141,39.4,53.8
308,adipose,UNSIGNED,black,23.4,9.8,148.2,36.2,54.4
309,adipose,UNSIGNED,darkmagenta,26.3,11.4,186.9,47.4,68
310,adipose,SIGNED,white,21.2,9.4,99.6,35.6,41.5
311,adipose,SIGNED,violet,26.8,9.8,126.6,46.1,52.3
312,adipose,UNSIGNED,brown,26.5,10.8,191.5,47.9,69.2
313,adipose,SIGNED,yellow,21.1,8.6,112.3,31.8,43.5
314,adipose,UNSIGNED,blue,26.1,10.3,136.6,37,52.5
315,adipose,SIGNED,turquoise,23.8,9.8,132,41.6,51.8
316,adipose,SIGNED,grey,26.8,11.2,151.4,47.6,59.3
317,adipose,SIGNED,all,22.9,10.2,117.3,40.1,47.6
318,adipose,UNSIGNED,lightpink4,26.4,11.2,160.2,47.4,61.3
319,adipose,UNSIGNED,lavenderblush3,22.3,11.1,152.7,40.9,56.8
320,adipose,UNSIGNED,darkslateblue,26.9,10.4,177.1,48.5,65.7
321,adipose,UNSIGNED,darkseagreen4,24.4,11,154.5,51.4,60.3
322,adipose,UNSIGNED,lightsteelblue,26.4,10.3,153.4,45.1,58.8
323,adipose,UNSIGNED,lightcyan1,26.2,10.2,143.8,40.5,55.2
