,tissue,network,module,glucose,weight,insulin,triglyceride,mean
386,kidney,SIGNED,darkgreen,22.04,11.18,171.56,47.81,63.15
387,kidney,SIGNED,darkmagenta,27.21,11.27,139.31,47.67,56.37
388,kidney,SIGNED,darkgrey,24.2,11.19,177.15,49.88,65.61
389,kidney,SIGNED,bisque4,26.79,11.19,177.26,46.1,65.34
390,kidney,SIGNED,cyan,18.35,10.52,132.84,37.48,49.8
391,kidney,SIGNED,black,17.57,10.51,96.17,38.84,40.77
392,kidney,SIGNED,darkorange2,25.53,11.11,131.07,42.49,52.55
393,kidney,SIGNED,green,25.63,11.19,178.18,45.39,65.1
394,kidney,SIGNED,brown,18.43,9.45,117.09,35.05,45.01
395,kidney,SIGNED,greenyellow,18.86,9.28,95.37,34.43,39.48
396,kidney,SIGNED,blue,18.86,10.53,107.51,41.48,44.6
397,kidney,SIGNED,plum1,26.92,11.19,178.18,50.67,66.74
398,kidney,SIGNED,lightcyan1,24.94,11.19,177.54,48.94,65.65
399,kidney,SIGNED,navajowhite2,25.87,11.19,171.91,46.97,63.99
400,kidney,SIGNED,maroon,25.35,11.19,170.49,48.8,63.96
401,kidney,SIGNED,paleturquoise,24.93,10.94,172.72,44.54,63.28
402,kidney,SIGNED,ivory,22.16,10.06,154,34.85,55.26
403,kidney,SIGNED,lightgreen,19.35,10.99,122.05,39.79,48.05
404,kidney,SIGNED,mediumpurple3,20.27,10.82,161.38,40.81,58.32
405,kidney,SIGNED,orangered4,25.56,10.88,134.81,44.68,53.98
406,kidney,SIGNED,lightcyan,16.77,11.18,120.96,41.41,47.58
407,kidney,SIGNED,orange,19.34,11.15,173.64,35.42,59.89
408,kidney,SIGNED,palevioletred3,25.96,11.16,159.97,50.6,61.92
409,kidney,SIGNED,plum2,26.92,11.19,178.18,50.75,66.76
410,kidney,SIGNED,lightyellow,27.53,11.19,178.18,45.4,65.58
411,kidney,SIGNED,lightpink4,26.56,11.19,179.08,51.31,67.04
412,kidney,SIGNED,lightsteelblue1,21.47,11.11,173.07,35.11,60.19
413,kidney,SIGNED,midnightblue,17.11,10.49,108.12,33.59,42.33
414,kidney,SIGNED,purple,21.2,10.27,99.71,38.04,42.31
415,kidney,SIGNED,magenta,22.26,10.72,145.17,44.44,55.65
416,kidney,SIGNED,pink,16.13,9.95,93.07,33.6,38.19
417,kidney,SIGNED,saddlebrown,21.52,11.11,169.83,41.5,60.99
418,kidney,SIGNED,yellowgreen,23.43,11.1,140.95,35.22,52.67
419,kidney,UNSIGNED,antiquewhite2,27,11.04,177.5,47.91,65.86
420,kidney,SIGNED,salmon4,25.08,11.09,139.04,38.25,53.36
421,kidney,SIGNED,sienna3,24.43,11.01,138.58,43.3,54.33
422,kidney,SIGNED,white,24.58,11.19,178.18,41.82,63.94
423,kidney,SIGNED,skyblue3,27.89,11.19,177.64,52.82,67.39
424,kidney,SIGNED,skyblue,20.37,11.74,138.79,38.96,52.46
425,kidney,SIGNED,royalblue,20.67,11.06,167.56,37.78,59.26
426,kidney,SIGNED,steelblue,23.94,10.65,140.1,37.11,52.95
427,kidney,SIGNED,thistle1,21.09,11.27,123.75,36.24,48.08
428,kidney,SIGNED,thistle2,20.1,11.06,145.74,38.09,53.75
429,kidney,SIGNED,violet,24.73,11.16,156.02,43.51,58.86
430,kidney,SIGNED,tan,20.14,9.98,112.85,34.28,44.31
431,kidney,SIGNED,salmon,15.35,11.33,97.72,38.41,40.7
432,kidney,SIGNED,red,19.78,11.19,185.08,42.59,64.66
433,kidney,SIGNED,yellow,17.85,10.35,107.36,36.74,43.08
434,kidney,SIGNED,turquoise,18.55,10.53,91.96,39.23,40.06
435,kidney,SIGNED,grey,23.08,11.19,160.19,40.62,58.77
436,kidney,SIGNED,all,16.91,11.16,141.57,36.21,51.46
437,kidney,UNSIGNED,antiquewhite4,22.99,10.81,124.59,50.55,52.24
438,kidney,UNSIGNED,coral,26.66,11,170.91,48.18,64.18
439,kidney,UNSIGNED,brown4,23.54,9.97,152.91,36.01,55.61
440,kidney,UNSIGNED,darkolivegreen4,27.06,11.18,177.11,50.95,66.57
441,kidney,UNSIGNED,darkorange,23.34,11.12,145.71,40.08,55.06
442,kidney,UNSIGNED,bisque4,25.91,11.08,177.94,47.45,65.6
443,kidney,UNSIGNED,coral2,23.98,11.18,187.12,42.67,66.24
444,kidney,UNSIGNED,coral1,22.17,11.17,147.23,41.05,55.4
445,kidney,UNSIGNED,darkmagenta,26.92,11.19,178.18,50.67,66.74
446,kidney,UNSIGNED,coral3,26.66,11.19,178.18,50.25,66.57
447,kidney,UNSIGNED,brown2,23.07,11.55,174.61,44.78,63.51
448,kidney,UNSIGNED,cyan,25.95,11.19,178.18,48.18,65.87
449,kidney,UNSIGNED,blue2,26.92,11.19,178.18,50.67,66.74
450,kidney,UNSIGNED,darkgreen,19.37,10.97,121.84,45.24,49.36
451,kidney,UNSIGNED,darkolivegreen,22.7,10.94,167.49,42.12,60.81
452,kidney,UNSIGNED,darkgrey,22.89,11.16,153.04,37.82,56.23
453,kidney,UNSIGNED,black,24.18,11.19,180.1,48.71,66.04
454,kidney,UNSIGNED,darkorange2,20.43,10.91,144.11,41.4,54.21
455,kidney,UNSIGNED,brown,24.27,11.19,178.18,45.56,64.8
456,kidney,UNSIGNED,blue,19.21,10.95,95.82,39.95,41.48
457,kidney,UNSIGNED,honeydew1,27.05,11.19,178.18,50.56,66.74
458,kidney,UNSIGNED,indianred4,25.4,11.19,181.4,48.31,66.58
459,kidney,UNSIGNED,firebrick4,27.03,11.19,178.48,55.5,68.05
460,kidney,UNSIGNED,darkslateblue,24.41,11.19,166.7,51.62,63.48
461,kidney,UNSIGNED,grey60,17.45,10.88,137.94,36.55,50.7
462,kidney,UNSIGNED,darkviolet,16.91,11.18,141.82,34.64,51.14
463,kidney,UNSIGNED,darkturquoise,24.9,11.22,142.78,46.79,56.42
464,kidney,UNSIGNED,ivory,26.92,11.19,178.18,50.67,66.74
465,kidney,UNSIGNED,darkseagreen4,20.37,11.05,145.69,37.7,53.7
466,kidney,UNSIGNED,green,19.45,11.34,136.03,35.1,50.48
467,kidney,UNSIGNED,lavenderblush2,26.97,11.19,178.18,47.69,66.01
468,kidney,UNSIGNED,honeydew,25.13,11.19,178.18,50.53,66.26
469,kidney,UNSIGNED,greenyellow,25.15,11.19,178.18,47.3,65.45
470,kidney,UNSIGNED,lightcoral,26.13,11.15,160.07,47.15,61.12
471,kidney,UNSIGNED,darkseagreen3,27.29,11.19,174.48,50.88,65.96
472,kidney,UNSIGNED,darkred,23.88,11.19,178.18,41.72,63.74
473,kidney,UNSIGNED,lightcyan1,22.92,11.08,149.57,30.35,53.48
474,kidney,UNSIGNED,lightcyan,23.51,11.19,155.03,40.7,57.61
475,kidney,UNSIGNED,floralwhite,27.73,11.19,177.26,46.11,65.57
476,kidney,UNSIGNED,lavenderblush3,24.24,10.7,145.42,38.93,54.82
477,kidney,UNSIGNED,navajowhite1,27.62,11.14,166.79,43.76,62.33
478,kidney,UNSIGNED,lightpink3,27.19,11.19,176.66,53.13,67.04
479,kidney,UNSIGNED,maroon,25.43,10.96,140.38,41.76,54.63
480,kidney,UNSIGNED,orange,20.45,10.76,126.73,44.44,50.6
481,kidney,UNSIGNED,navajowhite2,23.09,10.76,97.36,35.22,41.61
482,kidney,UNSIGNED,magenta4,27.07,10.84,173.49,43.19,63.65
483,kidney,UNSIGNED,lightyellow,24.77,11.1,164.25,43.39,60.87
484,kidney,UNSIGNED,mediumpurple2,24.9,11.19,178.18,45.72,65
485,kidney,UNSIGNED,orangered4,26.95,10.71,134.38,42.32,53.59
486,kidney,UNSIGNED,lightsteelblue1,27.66,10.56,144.23,47.62,57.52
487,kidney,UNSIGNED,mediumorchid,24.76,11.13,144.13,38.78,54.7
488,kidney,UNSIGNED,midnightblue,22.1,10.89,147.92,35.91,54.2
