,gene.id,symbol
450,10002910476.Ly6e,Ly6e
451,10004037163.1810024B03Rik,1810024B03Rik
452,10002919027.Mical1,Mical1
453,516341.Cdh10,Cdh10
454,10002912658.Ttll13,Ttll13
455,10004035586.Airn,Airn
456,10004033192.Pcdhgc4,Pcdhgc4
457,10002918225.Tubb2a,Tubb2a
458,514547.Gabrb1,Gabrb1
459,10003840238.Pla2g4f,Pla2g4f
460,515736.Lig1,Lig1
461,10002919626.Gm25634,Gm25634
462,10002908880.Lypd8,Lypd8
463,1488469.Csgalnact1,Csgalnact1
464,504758.Ppp2r5a,Ppp2r5a
465,10002896837.BC067074,BC067074
466,10002915018.Shld2,Shld2
467,10002930107.Arpin,Arpin
468,509787.6330408M09Rik,6330408M09Rik
469,10003839795.Zfp658,Zfp658
470,504685.Grb10,Grb10
471,10004035004.Gm44949,Gm44949
472,10002905553.Nlrc5,Nlrc5
473,10002935498.Scrn1,Scrn1
474,10002907631.Gm7851,Gm7851
475,10004036376.Igdcc4,Igdcc4
476,10004037852.H2-Q5,H2-Q5
477,10002905353.Trim46,Trim46
478,10004037689.Phf12,Phf12
479,10002678120.Picalm,Picalm
480,509143.4930599N24Rik,4930599N24Rik
481,10004037015.Itsn2,Itsn2
482,499283.Ercc5,Ercc5
483,10003840243.Terb2,Terb2
484,508157.Tcf7l1,Tcf7l1
485,10003837836.Tenm3,Tenm3
486,10002906992.Lrrfip2,Lrrfip2
487,10002913796.Mtg1,Mtg1
488,500371.Ncoa2,Ncoa2
489,10004036447.Gm5600,Gm5600
490,10003839183.Cux1,Cux1
491,506902.Sgk2,Sgk2
492,10002911896.Nagk,Nagk
493,502018.Anxa11os,Anxa11os
494,10002913400.Gm5703,Gm5703
495,10002916136.Catsper4,Catsper4
496,10002950174.6820408C15Rik,6820408C15Rik
497,10002915910.Cmss1,Cmss1
498,508311.1700025J12Rik,1700025J12Rik
499,10003843253.Gm26872,Gm26872
500,500695.Pdcd4,Pdcd4
501,10003845425.Gm13652,Gm13652
502,10002918351.Zfp282,Zfp282
503,10002908541.Arhgap40,Arhgap40
504,498928.Met,Met
505,503838.Tacr3,Tacr3
506,10002903490.Dnah7b,Dnah7b
