,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
159,10004036140.Greb1l,black,adipose,,NO,Greb1l,,1,SIGNED
160,511337.2810404M03Rik,black,adipose,,NO,2810404M03Rik,,1,SIGNED
161,10003843123.Gm46392,black,adipose,,NO,Gm46392,,1,SIGNED
162,10002945016.Nlgn1,black,adipose,,NO,Nlgn1,,1,SIGNED
163,10002927548.2610206C17Rik,black,adipose,,NO,2610206C17Rik,,1,SIGNED
164,10003839131.Wwp2,black,adipose,,NO,Wwp2,,1,SIGNED
165,516296.4930404O17Rik,black,adipose,,NO,4930404O17Rik,,1,SIGNED
166,10004038408.Grik4,black,adipose,,NO,Grik4,,1,SIGNED
167,10002949707.Tmem145,black,adipose,,NO,Tmem145,,1,SIGNED
168,10004036100.Mrgprx1,black,adipose,,NO,Mrgprx1,,1,SIGNED
169,511351.3110039M20Rik,black,adipose,,NO,3110039M20Rik,,1,SIGNED
170,592604.Galnt10,black,adipose,,NO,Galnt10,,1,SIGNED
171,10004036409.Olfr348,black,adipose,,NO,Olfr348,,1,SIGNED
172,10002896602.Nlrp9b,black,adipose,,NO,Nlrp9b,,1,SIGNED
173,10002927693.Gm14260,black,adipose,,NO,Gm14260,,1,SIGNED
174,10004036463.AI504432,black,adipose,,NO,AI504432,,1,SIGNED
175,509415.1700054K02Rik,black,adipose,,NO,1700054K02Rik,,1,SIGNED
176,10002898208.Gm5270,black,adipose,,NO,Gm5270,,1,SIGNED
177,10002902331.Magi3,black,adipose,,NO,Magi3,,1,SIGNED
178,10002903893.Mrpl35,black,adipose,,NO,Mrpl35,,1,SIGNED
179,506464.Mapkap1,black,adipose,,NO,Mapkap1,,1,SIGNED
180,10002951227.Cd226,black,adipose,,NO,Cd226,,1,SIGNED
181,10003839515.Gm29455,black,adipose,,NO,Gm29455,,1,SIGNED
182,506329.Rai1,black,adipose,,NO,Rai1,,1,SIGNED
183,518199.A030005K14Rik,black,adipose,,NO,A030005K14Rik,,1,SIGNED
184,10003115563.Klhl31,black,adipose,,NO,Klhl31,,1,SIGNED
185,10003837863.Gm16130,black,adipose,,NO,Gm16130,,1,SIGNED
186,10004038086.Kmt2c,black,adipose,,NO,Kmt2c,,1,SIGNED
187,519728.Senp8,black,adipose,,NO,Senp8,,1,SIGNED
188,10003836446.Gm8291,black,adipose,,NO,Gm8291,,1,SIGNED
189,10002943480.Gm14942,black,adipose,,NO,Gm14942,,1,SIGNED
190,10003838932.Mtcl1,black,adipose,,NO,Mtcl1,,1,SIGNED
191,515273.Asic5,black,adipose,,NO,Asic5,,1,SIGNED
192,10002925672.Gm32305,black,adipose,,NO,Gm32305,,1,SIGNED
193,517857.Gm10231,black,adipose,,NO,Gm10231,,1,SIGNED
194,10004037099.E230025N22Rik,black,adipose,,NO,E230025N22Rik,,1,SIGNED
195,10003842103.Gm17057,black,adipose,,NO,Gm17057,,1,SIGNED
196,10004037127.Nt5c3b,black,adipose,,NO,Nt5c3b,,1,SIGNED
197,502173.Glra1,black,adipose,,NO,Glra1,,1,SIGNED
198,10002926719.Gm37832,black,adipose,,NO,Gm37832,,1,SIGNED
199,10003839187.Kctd8,black,adipose,,NO,Kctd8,,1,SIGNED
200,10002936368.Cxcl17,black,adipose,,NO,Cxcl17,,1,SIGNED
201,516550.A430105J06Rik,black,adipose,,NO,A430105J06Rik,,1,SIGNED
202,509005.9530086P17Rik,black,adipose,,NO,9530086P17Rik,,1,SIGNED
203,503212.Cdh11,black,adipose,,NO,Cdh11,,1,SIGNED
