,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
154,10002901433.Ush1c,black,adipose,,NO,Ush1c,,1,UNSIGNED
155,502622.Rnf43,black,adipose,,NO,Rnf43,,1,UNSIGNED
156,10002909331.Pax8,black,adipose,,NO,Pax8,,1,UNSIGNED
157,10002900391.Lrguk,black,adipose,,NO,Lrguk,,1,UNSIGNED
158,512335.Tmprss2,black,adipose,,NO,Tmprss2,,1,UNSIGNED
159,1007955.Dsg2,black,adipose,,NO,Dsg2,,1,UNSIGNED
160,502204.Ddit4l,black,adipose,,NO,Ddit4l,,1,UNSIGNED
161,507580.Ocln,black,adipose,,NO,Ocln,,1,UNSIGNED
162,1485598.Col4a4,black,adipose,,NO,Col4a4,,1,UNSIGNED
163,505323.Fgfr2,black,adipose,,NO,Fgfr2,,1,UNSIGNED
164,510731.Irf6,black,adipose,,NO,Irf6,,1,UNSIGNED
165,512586.Corin,black,adipose,,NO,Corin,,1,UNSIGNED
166,517552.Spag8,black,adipose,,NO,Spag8,,1,UNSIGNED
167,10002918146.Slc6a20a,black,adipose,,NO,Slc6a20a,,1,UNSIGNED
168,513611.C2cd4b,black,adipose,,NO,C2cd4b,,1,UNSIGNED
169,508675.Mdh1b,black,adipose,,NO,Mdh1b,,1,UNSIGNED
170,10002917398.Rbm11,black,adipose,,NO,Rbm11,,1,UNSIGNED
171,10002678801.Cyp2j13,black,adipose,,NO,Cyp2j13,,1,UNSIGNED
172,517245.Dbndd1,black,adipose,,NO,Dbndd1,,1,UNSIGNED
173,10002917348.Lrp2,black,adipose,,NO,Lrp2,,1,UNSIGNED
174,515306.Dydc2,black,adipose,,NO,Dydc2,,1,UNSIGNED
175,10002948315.Myo15b,black,adipose,,NO,Myo15b,,1,UNSIGNED
176,10002914460.Ovol2,black,adipose,,NO,Ovol2,,1,UNSIGNED
177,506673.Ccdc39,black,adipose,,NO,Ccdc39,,1,UNSIGNED
178,10002905129.Rsph9,black,adipose,,NO,Rsph9,,1,UNSIGNED
179,514009.Tcte1,black,adipose,,NO,Tcte1,,1,UNSIGNED
180,10002908867.Ccdc153,black,adipose,,NO,Ccdc153,,1,UNSIGNED
181,10002918158.Sp5,black,adipose,,NO,Sp5,,1,UNSIGNED
182,10002903940.Tmem213,black,adipose,,NO,Tmem213,,1,UNSIGNED
183,10002913004.Atp1b1,black,adipose,,NO,Atp1b1,,1,UNSIGNED
184,499427.Egfl6,black,adipose,,NO,Egfl6,,1,UNSIGNED
185,518968.Fam229a,black,adipose,,NO,Fam229a,,1,UNSIGNED
186,10004038289.Dsg2,black,adipose,,NO,Dsg2,,1,UNSIGNED
187,506090.Klhl14,black,adipose,,NO,Klhl14,,1,UNSIGNED
