,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
146,10002906888.Eef1akmt3,black,islet,,NO,Eef1akmt3,,1,UNSIGNED
147,10003843932.Gm18423,black,islet,,NO,Gm18423,,1,UNSIGNED
148,10002942805.Gm14034,black,islet,,NO,Gm14034,,1,UNSIGNED
149,10004036728.Cab39,black,islet,,NO,Cab39,,1,UNSIGNED
150,10003836493.Gm28447,black,islet,,NO,Gm28447,,1,UNSIGNED
151,513588.Gpr84,black,islet,,NO,Gpr84,,1,UNSIGNED
152,10002921469.Fsip2,black,islet,,NO,Fsip2,,1,UNSIGNED
153,10002914691.Triap1,black,islet,,NO,Triap1,,1,UNSIGNED
154,10002896388.Cabin1,black,islet,,NO,Cabin1,,1,UNSIGNED
155,10004035247.Gm20305,black,islet,,NO,Gm20305,,1,UNSIGNED
156,511942.Cdhr2,black,islet,,NO,Cdhr2,,1,UNSIGNED
157,10003840408.4930535L15Rik,black,islet,,NO,4930535L15Rik,,1,UNSIGNED
158,10003843011.Eno1,black,islet,,NO,Eno1,,1,UNSIGNED
159,518804.Cers1,black,islet,,NO,Cers1,,1,UNSIGNED
160,10002899005.Med26,black,islet,,NO,Med26,,1,UNSIGNED
161,10003841799.Optn,black,islet,,NO,Optn,,1,UNSIGNED
162,519285.Olfr70,black,islet,,NO,Olfr70,,1,UNSIGNED
163,507396.Zdhhc12,black,islet,,NO,Zdhhc12,,1,UNSIGNED
164,10003845537.2900009J06Rik,black,islet,,NO,2900009J06Rik,,1,UNSIGNED
165,10003839268.Cep170,black,islet,,NO,Cep170,,1,UNSIGNED
166,10002919695.Gm10804,black,islet,,NO,Gm10804,,1,UNSIGNED
167,10002907608.Lrcol1,black,islet,,NO,Lrcol1,,1,UNSIGNED
168,513692.Itih1,black,islet,,NO,Itih1,,1,UNSIGNED
169,516757.Mmp2,black,islet,,NO,Mmp2,,1,UNSIGNED
170,10004033962.Mei1,black,islet,,NO,Mei1,,1,UNSIGNED
171,520022.Prdm16os,black,islet,,NO,Prdm16os,,1,UNSIGNED
172,518487.Acer1,black,islet,,NO,Acer1,,1,UNSIGNED
173,10002907908.Gm9311,black,islet,,NO,Gm9311,,1,UNSIGNED
174,10002913884.T2,black,islet,,NO,T2,,1,UNSIGNED
175,500594.Ubxn2a,black,islet,,NO,Ubxn2a,,1,UNSIGNED
176,10002909201.Adcy5,black,islet,,NO,Adcy5,,1,UNSIGNED
177,10004034135.Abl2,black,islet,,NO,Abl2,,1,UNSIGNED
178,10002899974.Upk2,black,islet,,NO,Upk2,,1,UNSIGNED
179,519895.2900089D17Rik,black,islet,,NO,2900089D17Rik,,1,UNSIGNED
180,10003838272.Lrrc4c,black,islet,,NO,Lrrc4c,,1,UNSIGNED
181,10002902968.Gm7853,black,islet,,NO,Gm7853,,1,UNSIGNED
182,10004036534.Trmt10b,black,islet,,NO,Trmt10b,,1,UNSIGNED
183,10004035653.Bin3,black,islet,,NO,Bin3,,1,UNSIGNED
184,10004037043.4930544M13Rik,black,islet,,NO,4930544M13Rik,,1,UNSIGNED
185,10003114541.Sart3,black,islet,,NO,Sart3,,1,UNSIGNED
186,10004035048.Gm14798,black,islet,,NO,Gm14798,,1,UNSIGNED
187,10003842895.Gm3551,black,islet,,NO,Gm3551,,1,UNSIGNED
188,515731.Col8a1,black,islet,,NO,Col8a1,,1,UNSIGNED
189,10003838685.Rmst,black,islet,,NO,Rmst,,1,UNSIGNED
190,10003845106.AI427809,black,islet,,NO,AI427809,,1,UNSIGNED
191,10002916757.Stard9,black,islet,,NO,Stard9,,1,UNSIGNED
192,10004037788.Pym1,black,islet,,NO,Pym1,,1,UNSIGNED
193,10002930787.Cacng2,black,islet,,NO,Cacng2,,1,UNSIGNED
194,10002917559.Vax2os,black,islet,,NO,Vax2os,,1,UNSIGNED
195,509358.4930403O18Rik,black,islet,,NO,4930403O18Rik,,1,UNSIGNED
196,10002912439.Gm15994,black,islet,,NO,Gm15994,,1,UNSIGNED
197,504252.D630024D03Rik,black,islet,,NO,D630024D03Rik,,1,UNSIGNED
198,10002950398.Frmd4a,black,islet,,NO,Frmd4a,,1,UNSIGNED
199,10004035024.Dusp11,black,islet,,NO,Dusp11,,1,UNSIGNED
200,10003837780.Zmiz1os1,black,islet,,NO,Zmiz1os1,,1,UNSIGNED
201,516395.Mybph,black,islet,,NO,Mybph,,1,UNSIGNED
202,10002944025.AU016765,black,islet,,NO,AU016765,,1,UNSIGNED
203,1481193.Doc2a,black,islet,,NO,Doc2a,,1,UNSIGNED
204,10003841820.4930402H24Rik,black,islet,,NO,4930402H24Rik,,1,UNSIGNED
205,10002921875.Atad1,black,islet,,NO,Atad1,,1,UNSIGNED
206,10004036663.Mdc1,black,islet,,NO,Mdc1,,1,UNSIGNED
207,10004037508.Rgsl1,black,islet,,NO,Rgsl1,,1,UNSIGNED
208,520003.Lhx9,black,islet,,NO,Lhx9,,1,UNSIGNED
209,10002918349.Fam131c,black,islet,,NO,Fam131c,,1,UNSIGNED
210,10002910062.Syne1,black,islet,,NO,Syne1,,1,UNSIGNED
211,514008.Arf5,black,islet,,NO,Arf5,,1,UNSIGNED
212,10002896070.Slc25a13,black,islet,,NO,Slc25a13,,1,UNSIGNED
213,10003846021.Hba-ps4,black,islet,,NO,Hba-ps4,,1,UNSIGNED
214,10004036381.Mcc,black,islet,,NO,Mcc,,1,UNSIGNED
215,10002934746.Gm37184,black,islet,,NO,Gm37184,,1,UNSIGNED
216,10002933684.Spint5,black,islet,,NO,Spint5,,1,UNSIGNED
217,508512.2310016G11Rik,black,islet,,NO,2310016G11Rik,,1,UNSIGNED
218,10003842912.Gm2061,black,islet,,NO,Gm2061,,1,UNSIGNED
219,10002925064.Mir378d,black,islet,,NO,Mir378d,,1,UNSIGNED
220,504181.Shld1,black,islet,,NO,Shld1,,1,UNSIGNED
221,10002897459.A530058N18Rik,black,islet,,NO,A530058N18Rik,,1,UNSIGNED
222,10002899749.Gm5319,black,islet,,NO,Gm5319,,1,UNSIGNED
223,515147.Xab2,black,islet,,NO,Xab2,,1,UNSIGNED
224,10003836599.Gm6494,black,islet,,NO,Gm6494,,1,UNSIGNED
225,10002905099.Strc,black,islet,,NO,Strc,,1,UNSIGNED
226,10002899017.Gm7086,black,islet,,NO,Gm7086,,1,UNSIGNED
227,509534.Casp14,black,islet,,NO,Casp14,,1,UNSIGNED
228,10004037616.Mageb3,black,islet,,NO,Mageb3,,1,UNSIGNED
229,10004033497.Spout1,black,islet,,NO,Spout1,,1,UNSIGNED
230,499293.F2rl3,black,islet,,NO,F2rl3,,1,UNSIGNED
231,506297.Gm15622,black,islet,,NO,Gm15622,,1,UNSIGNED
232,10003115932.Slit1,black,islet,,NO,Slit1,,1,UNSIGNED
233,10003843039.Eml4,blue,islet,,NO,Eml4,,1,UNSIGNED
234,10004034575.Arf3,blue,islet,,NO,Arf3,,1,UNSIGNED
235,10002678727.Polb,blue,islet,,NO,Polb,,1,UNSIGNED
236,514418.Brd8,blue,islet,,NO,Brd8,,1,UNSIGNED
237,10003117215.N4bp2l2,blue,islet,,NO,N4bp2l2,,1,UNSIGNED
238,10003845332.Rab14,blue,islet,,NO,Rab14,,1,UNSIGNED
239,507142.Kcmf1,blue,islet,,NO,Kcmf1,,1,UNSIGNED
240,10003840500.Exoc5,blue,islet,,NO,Exoc5,,1,UNSIGNED
241,505794.Kansl3,blue,islet,,NO,Kansl3,,1,UNSIGNED
242,501163.Lias,blue,islet,,NO,Lias,,1,UNSIGNED
243,518589.Fbxo11,blue,islet,,NO,Fbxo11,,1,UNSIGNED
244,1374379.Huwe1,blue,islet,,NO,Huwe1,,1,UNSIGNED
245,10003844533.Nktr,blue,islet,,NO,Nktr,,1,UNSIGNED
246,501148.Fryl,blue,islet,,NO,Fryl,,1,UNSIGNED
247,10004036406.Papola,blue,islet,,NO,Papola,,1,UNSIGNED
248,507698.Zzef1,blue,islet,,NO,Zzef1,,1,UNSIGNED
249,10002902463.Pds5a,blue,islet,,NO,Pds5a,,1,UNSIGNED
250,10003838026.Ppp1cb,blue,islet,,NO,Ppp1cb,,1,UNSIGNED
251,10003844731.Tab2,blue,islet,,NO,Tab2,,1,UNSIGNED
252,10003115050.Gm9071,blue,islet,,NO,Gm9071,,1,UNSIGNED
253,513466.Rbm26,blue,islet,,NO,Rbm26,,1,UNSIGNED
254,10003839721.Srp54c,blue,islet,,NO,Srp54c,,1,UNSIGNED
255,10003838497.B830012L14Rik,blue,islet,,NO,B830012L14Rik,,1,UNSIGNED
256,508525.Polb,blue,islet,,NO,Polb,,1,UNSIGNED
257,498426.Mbnl2,blue,islet,,NO,Mbnl2,,1,UNSIGNED
258,505513.Tra2a,blue,islet,,NO,Tra2a,,1,UNSIGNED
259,10003844532.Qrich1,blue,islet,,NO,Qrich1,,1,UNSIGNED
260,515265.Hnrnph3,blue,islet,,NO,Hnrnph3,,1,UNSIGNED
261,10003839636.Mtdh,blue,islet,,NO,Mtdh,,1,UNSIGNED
262,10003843859.Stx5a,blue,islet,,NO,Stx5a,,1,UNSIGNED
263,507574.Thap3,blue,islet,,NO,Thap3,,1,UNSIGNED
264,519649.Arfgap3,blue,islet,,NO,Arfgap3,,1,UNSIGNED
265,519468.Cpsf7,blue,islet,,NO,Cpsf7,,1,UNSIGNED
266,10002899581.Thrap3,blue,islet,,NO,Thrap3,,1,UNSIGNED
267,10003839331.Klhl22,blue,islet,,NO,Klhl22,,1,UNSIGNED
268,10003844626.Arih2,blue,islet,,NO,Arih2,,1,UNSIGNED
269,1367694.Baz2b,blue,islet,,NO,Baz2b,,1,UNSIGNED
270,498446.Ptp4a2,blue,islet,,NO,Ptp4a2,,1,UNSIGNED
271,507660.Ano6,blue,islet,,NO,Ano6,,1,UNSIGNED
272,10003840184.Mecp2,blue,islet,,NO,Mecp2,,1,UNSIGNED
273,512361.Ube2b,blue,islet,,NO,Ube2b,,1,UNSIGNED
274,10003844889.Nav2,blue,islet,,NO,Nav2,,1,UNSIGNED
275,511175.Supt6,blue,islet,,NO,Supt6,,1,UNSIGNED
276,10003845321.Arfgef2,blue,islet,,NO,Arfgef2,,1,UNSIGNED
277,10003841967.Gnaq,blue,islet,,NO,Gnaq,,1,UNSIGNED
278,515255.Ttc19,blue,islet,,NO,Ttc19,,1,UNSIGNED
279,514103.Fkbp15,blue,islet,,NO,Fkbp15,,1,UNSIGNED
280,10003842066.Brd4,blue,islet,,NO,Brd4,,1,UNSIGNED
281,10003846028.Csnk1g3,blue,islet,,NO,Csnk1g3,,1,UNSIGNED
282,10003844991.Taf1d,blue,islet,,NO,Taf1d,,1,UNSIGNED
283,517944.Ttc3,blue,islet,,NO,Ttc3,,1,UNSIGNED
284,10003838301.Sec16a,blue,islet,,NO,Sec16a,,1,UNSIGNED
285,10003844677.Sorbs2,blue,islet,,NO,Sorbs2,,1,UNSIGNED
286,10003843814.Zfr,blue,islet,,NO,Zfr,,1,UNSIGNED
287,10003837925.Gm45231,blue,islet,,NO,Gm45231,,1,UNSIGNED
288,10003841624.Ptbp2,blue,islet,,NO,Ptbp2,,1,UNSIGNED
289,10003838185.Kif1b,blue,islet,,NO,Kif1b,,1,UNSIGNED
290,519600.Arhgef5,blue,islet,,NO,Arhgef5,,1,UNSIGNED
291,10003844560.Unk,blue,islet,,NO,Unk,,1,UNSIGNED
292,515940.Dcaf8,blue,islet,,NO,Dcaf8,,1,UNSIGNED
293,514548.Abcd3,blue,islet,,NO,Abcd3,,1,UNSIGNED
294,10003117326.Gm9071,blue,islet,,NO,Gm9071,,1,UNSIGNED
