,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
134,10004033918.Rbm33,black,islet,,NO,Rbm33,,1,SIGNED
135,498980.Gmcl1,black,islet,,NO,Gmcl1,,1,SIGNED
136,10002917496.Cdc73,black,islet,,NO,Cdc73,,1,SIGNED
137,10002916054.Rab3ip,black,islet,,NO,Rab3ip,,1,SIGNED
138,10002914255.Zfp672,black,islet,,NO,Zfp672,,1,SIGNED
139,514113.Igip,black,islet,,NO,Igip,,1,SIGNED
140,519698.Sfpq,black,islet,,NO,Sfpq,,1,SIGNED
141,505319.Fbxo3,black,islet,,NO,Fbxo3,,1,SIGNED
142,10002911628.Dennd4c,black,islet,,NO,Dennd4c,,1,SIGNED
143,10002909933.Marveld3,black,islet,,NO,Marveld3,,1,SIGNED
144,10003836102.Gm7232,black,islet,,NO,Gm7232,,1,SIGNED
145,10002906254.Gtf2e2,black,islet,,NO,Gtf2e2,,1,SIGNED
146,498628.Dnajb2,black,islet,,NO,Dnajb2,,1,SIGNED
147,10004035877.Dus4l,black,islet,,NO,Dus4l,,1,SIGNED
148,10002897464.Gm20517,black,islet,,NO,Gm20517,,1,SIGNED
149,517219.Yes1,black,islet,,NO,Yes1,,1,SIGNED
150,10002949867.Vldlr,black,islet,,NO,Vldlr,,1,SIGNED
151,10002907542.Bdp1,black,islet,,NO,Bdp1,,1,SIGNED
152,513077.Zcchc7,black,islet,,NO,Zcchc7,,1,SIGNED
153,1017867.Zfp62,black,islet,,NO,Zfp62,,1,SIGNED
154,517178.Tmem175,black,islet,,NO,Tmem175,,1,SIGNED
155,10002914857.Afg1l,black,islet,,NO,Afg1l,,1,SIGNED
156,10002911758.Wdr92,black,islet,,NO,Wdr92,,1,SIGNED
157,10003842081.Gm19141,black,islet,,NO,Gm19141,,1,SIGNED
158,502575.Tmem186,black,islet,,NO,Tmem186,,1,SIGNED
159,10002912415.Tspyl4,black,islet,,NO,Tspyl4,,1,SIGNED
160,10002678826.Creb1,black,islet,,NO,Creb1,,1,SIGNED
161,10002901984.Arhgap12,black,islet,,NO,Arhgap12,,1,SIGNED
162,10002915469.Eri1,black,islet,,NO,Eri1,,1,SIGNED
163,10002910625.Atf4,black,islet,,NO,Atf4,,1,SIGNED
164,519079.Dhx15,black,islet,,NO,Dhx15,,1,SIGNED
165,10002909479.Togaram1,black,islet,,NO,Togaram1,,1,SIGNED
166,516527.2700097O09Rik,black,islet,,NO,2700097O09Rik,,1,SIGNED
167,511540.Cdc37l1,black,islet,,NO,Cdc37l1,,1,SIGNED
168,10003837050.Gm6335,black,islet,,NO,Gm6335,,1,SIGNED
169,10002902334.Mllt3,black,islet,,NO,Mllt3,,1,SIGNED
170,504798.Klhl24,black,islet,,NO,Klhl24,,1,SIGNED
171,10002908661.Creb1,black,islet,,NO,Creb1,,1,SIGNED
172,10004033804.Naa50,black,islet,,NO,Naa50,,1,SIGNED
173,10002947434.Gm11583,black,islet,,NO,Gm11583,,1,SIGNED
174,10002925042.Gm14143,black,islet,,NO,Gm14143,,1,SIGNED
175,10003841852.Gm19085,black,islet,,NO,Gm19085,,1,SIGNED
176,10002904730.Zfyve16,black,islet,,NO,Zfyve16,,1,SIGNED
177,10002904619.Tmem39a,black,islet,,NO,Tmem39a,,1,SIGNED
178,10004033126.Ccdc137,black,islet,,NO,Ccdc137,,1,SIGNED
179,502137.Cstf3,black,islet,,NO,Cstf3,,1,SIGNED
180,516718.Cdip1,black,islet,,NO,Cdip1,,1,SIGNED
181,498979.Gm5844,black,islet,,NO,Gm5844,,1,SIGNED
182,10002899945.Tufm,black,islet,,NO,Tufm,,1,SIGNED
183,10004034384.BC065397,black,islet,,NO,BC065397,,1,SIGNED
184,10002919172.Dennd5b,black,islet,,NO,Dennd5b,,1,SIGNED
185,10002914290.Kbtbd7,black,islet,,NO,Kbtbd7,,1,SIGNED
186,10002897987.Wdr78,black,islet,,NO,Wdr78,,1,SIGNED
187,10002896620.Ric8b,black,islet,,NO,Ric8b,,1,SIGNED
188,10002916351.Abitram,black,islet,,NO,Abitram,,1,SIGNED
189,508773.Ap1s2,black,islet,,NO,Ap1s2,,1,SIGNED
190,10004033538.Atxn7l1,black,islet,,NO,Atxn7l1,,1,SIGNED
191,10004033473.Shq1,black,islet,,NO,Shq1,,1,SIGNED
192,10004036405.Zfp52,black,islet,,NO,Zfp52,,1,SIGNED
193,514199.Noxred1,black,islet,,NO,Noxred1,,1,SIGNED
194,506954.Gm43668,black,islet,,NO,Gm43668,,1,SIGNED
195,10002899886.Tysnd1,black,islet,,NO,Tysnd1,,1,SIGNED
196,10002915382.Apex2,black,islet,,NO,Apex2,,1,SIGNED
197,519058.Dnajb4,black,islet,,NO,Dnajb4,,1,SIGNED
198,10002917422.Saysd1,black,islet,,NO,Saysd1,,1,SIGNED
199,507848.Nr2c1,black,islet,,NO,Nr2c1,,1,SIGNED
200,10002899608.Armcx1,black,islet,,NO,Armcx1,,1,SIGNED
201,10003837481.Catspere1,black,islet,,NO,Catspere1,,1,SIGNED
202,508110.Dr1,black,islet,,NO,Dr1,,1,SIGNED
203,10004036208.Gm17018,black,islet,,NO,Gm17018,,1,SIGNED
204,512034.5430430B14Rik,black,islet,,NO,5430430B14Rik,,1,SIGNED
205,1484554.Slc3a2,black,islet,,NO,Slc3a2,,1,SIGNED
206,497657.Dnaja1,black,islet,,NO,Dnaja1,,1,SIGNED
207,10002917494.Gm14457,black,islet,,NO,Gm14457,,1,SIGNED
208,10004038074.Marveld3,black,islet,,NO,Marveld3,,1,SIGNED
209,10002913876.Mosmo,black,islet,,NO,Mosmo,,1,SIGNED
210,499899.Zfp654,black,islet,,NO,Zfp654,,1,SIGNED
211,10004038240.Cacul1,black,islet,,NO,Cacul1,,1,SIGNED
212,10002909953.Fam8a1,black,islet,,NO,Fam8a1,,1,SIGNED
213,10002910834.Gm5746,black,islet,,NO,Gm5746,,1,SIGNED
214,10002913788.Vrk3,black,islet,,NO,Vrk3,,1,SIGNED
215,518506.Tmem230,black,islet,,NO,Tmem230,,1,SIGNED
216,507331.4930402H24Rik,black,islet,,NO,4930402H24Rik,,1,SIGNED
217,10002908154.Slc7a6,black,islet,,NO,Slc7a6,,1,SIGNED
218,511985.Med7,black,islet,,NO,Med7,,1,SIGNED
219,10002906711.Vegfa,black,islet,,NO,Vegfa,,1,SIGNED
220,10002904296.Sdhaf3,black,islet,,NO,Sdhaf3,,1,SIGNED
221,10004034923.1110002L01Rik,black,islet,,NO,1110002L01Rik,,1,SIGNED
222,10004034718.Adal,black,islet,,NO,Adal,,1,SIGNED
223,10002678223.Srsf7,black,islet,,NO,Srsf7,,1,SIGNED
224,509907.Snap29,black,islet,,NO,Snap29,,1,SIGNED
225,10002896269.Spice1,black,islet,,NO,Spice1,,1,SIGNED
226,10002943275.9530080O11Rik,black,islet,,NO,9530080O11Rik,,1,SIGNED
227,10002897437.Kctd15,black,islet,,NO,Kctd15,,1,SIGNED
228,10003838147.Rbm12b2,black,islet,,NO,Rbm12b2,,1,SIGNED
229,591401.0610012G03Rik,black,islet,,NO,0610012G03Rik,,1,SIGNED
230,513785.Phf7,black,islet,,NO,Phf7,,1,SIGNED
231,10004033488.Eif3j1,black,islet,,NO,Eif3j1,,1,SIGNED
232,500639.Rrp8,black,islet,,NO,Rrp8,,1,SIGNED
233,10002899182.Rpap2,black,islet,,NO,Rpap2,,1,SIGNED
234,516188.Acvr2a,black,islet,,NO,Acvr2a,,1,SIGNED
235,512593.Amd2,black,islet,,NO,Amd2,,1,SIGNED
236,10004037307.Mtmr14,black,islet,,NO,Mtmr14,,1,SIGNED
237,10004038180.Arfrp1,black,islet,,NO,Arfrp1,,1,SIGNED
238,10003839124.Nudt7,black,islet,,NO,Nudt7,,1,SIGNED
239,511863.Ccdc127,black,islet,,NO,Ccdc127,,1,SIGNED
240,10002903924.Gm5841,black,islet,,NO,Gm5841,,1,SIGNED
241,10002897509.Slc15a4,black,islet,,NO,Slc15a4,,1,SIGNED
242,515470.Naa30,black,islet,,NO,Naa30,,1,SIGNED
243,10002918152.1700123O20Rik,black,islet,,NO,1700123O20Rik,,1,SIGNED
244,516222.Tfb1m,black,islet,,NO,Tfb1m,,1,SIGNED
245,10002950161.Slitrk6,black,islet,,NO,Slitrk6,,1,SIGNED
