Accession,module,tissue_origin,kME_module,multiple_tissues,transcript,gene_symbol,entrez_ID,numb_tissues
10002897464.Gm20517,black,islet,0.654263746,NO,,Gm20517,10002897464,1
517219.Yes1,black,islet,0.654052757,NO,,Yes1,517219,1
10002949867.Vldlr,black,islet,0.653159833,NO,,Vldlr,10002949867,1
10002907542.Bdp1,black,islet,0.652751332,NO,,Bdp1,10002907542,1
513077.Zcchc7,black,islet,0.652164315,NO,,Zcchc7,513077,1
1017867.Zfp62,black,islet,0.652055728,NO,,Zfp62,1017867,1
517178.Tmem175,black,islet,0.650954618,NO,,Tmem175,517178,1
10002914857.Afg1l,black,islet,0.650446243,NO,,Afg1l,10002914857,1
10002911758.Wdr92,black,islet,0.649963086,NO,,Wdr92,10002911758,1
10003842081.Gm19141,black,islet,0.649548858,NO,,Gm19141,10003842081,1
502575.Tmem186,black,islet,0.649246222,NO,,Tmem186,502575,1
10002912415.Tspyl4,black,islet,0.64841442,NO,,Tspyl4,10002912415,1
10002678826.Creb1,black,islet,0.648342976,NO,,Creb1,10002678826,1
10002901984.Arhgap12,black,islet,0.647832806,NO,,Arhgap12,10002901984,1
10002915469.Eri1,black,islet,0.647792046,NO,,Eri1,10002915469,1
10002910625.Atf4,black,islet,0.647423172,NO,,Atf4,10002910625,1
519079.Dhx15,black,islet,0.646438662,NO,,Dhx15,519079,1
10002909479.Togaram1,black,islet,0.64587694,NO,,Togaram1,10002909479,1
516527.2700097O09Rik,black,islet,0.643658678,NO,,2700097O09Rik,516527,1
511540.Cdc37l1,black,islet,0.64346965,NO,,Cdc37l1,511540,1
10003837050.Gm6335,black,islet,0.642686585,NO,,Gm6335,10003837050,1
10002902334.Mllt3,black,islet,0.642436103,NO,,Mllt3,10002902334,1
504798.Klhl24,black,islet,0.642006352,NO,,Klhl24,504798,1
10002908661.Creb1,black,islet,0.641822122,NO,,Creb1,10002908661,1
10004033804.Naa50,black,islet,0.640743696,NO,,Naa50,10004033804,1
10002947434.Gm11583,black,islet,0.637941159,NO,,Gm11583,10002947434,1
10002925042.Gm14143,black,islet,0.637187419,NO,,Gm14143,10002925042,1
10003841852.Gm19085,black,islet,0.635851357,NO,,Gm19085,10003841852,1
10002904730.Zfyve16,black,islet,0.63520689,NO,,Zfyve16,10002904730,1
10002904619.Tmem39a,black,islet,0.635104578,NO,,Tmem39a,10002904619,1
10004033126.Ccdc137,black,islet,0.634957461,NO,,Ccdc137,10004033126,1
502137.Cstf3,black,islet,0.633838816,NO,,Cstf3,502137,1
516718.Cdip1,black,islet,0.633728188,NO,,Cdip1,516718,1
498979.Gm5844,black,islet,0.633272534,NO,,Gm5844,498979,1
10002899945.Tufm,black,islet,0.632867576,NO,,Tufm,10002899945,1
10004034384.BC065397,black,islet,0.632474691,NO,,BC065397,10004034384,1
10002919172.Dennd5b,black,islet,0.63181461,NO,,Dennd5b,10002919172,1
10002914290.Kbtbd7,black,islet,0.63168318,NO,,Kbtbd7,10002914290,1
10002897987.Wdr78,black,islet,0.63157088,NO,,Wdr78,10002897987,1
10002896620.Ric8b,black,islet,0.631313598,NO,,Ric8b,10002896620,1
10002916351.Abitram,black,islet,0.631148779,NO,,Abitram,10002916351,1
508773.Ap1s2,black,islet,0.63051948,NO,,Ap1s2,508773,1
10004033538.Atxn7l1,black,islet,0.630463385,NO,,Atxn7l1,10004033538,1
10004033473.Shq1,black,islet,0.630414561,NO,,Shq1,10004033473,1
10004036405.Zfp52,black,islet,0.629135347,NO,,Zfp52,10004036405,1
514199.Noxred1,black,islet,0.628980659,NO,,Noxred1,514199,1
506954.Gm43668,black,islet,0.627327719,NO,,Gm43668,506954,1
10002899886.Tysnd1,black,islet,0.626667811,NO,,Tysnd1,10002899886,1
10002915382.Apex2,black,islet,0.623941566,NO,,Apex2,10002915382,1
519058.Dnajb4,black,islet,0.622567803,NO,,Dnajb4,519058,1
10002917422.Saysd1,black,islet,0.62197512,NO,,Saysd1,10002917422,1
507848.Nr2c1,black,islet,0.621838934,NO,,Nr2c1,507848,1
10002899608.Armcx1,black,islet,0.62147488,NO,,Armcx1,10002899608,1
10003837481.Catspere1,black,islet,0.621038409,NO,,Catspere1,10003837481,1
508110.Dr1,black,islet,0.617941457,NO,,Dr1,508110,1
10004036208.Gm17018,black,islet,0.616073806,NO,,Gm17018,10004036208,1
512034.5430430B14Rik,black,islet,0.61550037,NO,,5430430B14Rik,512034,1
1484554.Slc3a2,black,islet,0.615443367,NO,,Slc3a2,1484554,1
497657.Dnaja1,black,islet,0.613631745,NO,,Dnaja1,497657,1
10002917494.Gm14457,black,islet,0.61329814,NO,,Gm14457,10002917494,1
10004038074.Marveld3,black,islet,0.613051846,NO,,Marveld3,10004038074,1
10002913876.Mosmo,black,islet,0.612036457,NO,,Mosmo,10002913876,1
499899.Zfp654,black,islet,0.610650171,NO,,Zfp654,499899,1
10004038240.Cacul1,black,islet,0.610164192,NO,,Cacul1,10004038240,1
10002909953.Fam8a1,black,islet,0.610125825,NO,,Fam8a1,10002909953,1
10002910834.Gm5746,black,islet,0.610015914,NO,,Gm5746,10002910834,1
10002913788.Vrk3,black,islet,0.609064461,NO,,Vrk3,10002913788,1
518506.Tmem230,black,islet,0.608059616,NO,,Tmem230,518506,1
507331.4930402H24Rik,black,islet,0.607013318,NO,,4930402H24Rik,507331,1
10002908154.Slc7a6,black,islet,0.606121731,NO,,Slc7a6,10002908154,1
511985.Med7,black,islet,0.605747177,NO,,Med7,511985,1
10002906711.Vegfa,black,islet,0.605501868,NO,,Vegfa,10002906711,1
10002904296.Sdhaf3,black,islet,0.605358264,NO,,Sdhaf3,10002904296,1
10004034923.1110002L01Rik,black,islet,0.605189157,NO,,1110002L01Rik,10004034923,1
10004034718.Adal,black,islet,0.605095113,NO,,Adal,10004034718,1
10002678223.Srsf7,black,islet,0.603547092,NO,,Srsf7,10002678223,1
509907.Snap29,black,islet,0.602564325,NO,,Snap29,509907,1
10002896269.Spice1,black,islet,0.602100769,NO,,Spice1,10002896269,1
10002943275.9530080O11Rik,black,islet,0.602067605,NO,,9530080O11Rik,10002943275,1
10002897437.Kctd15,black,islet,0.601260993,NO,,Kctd15,10002897437,1
10003838147.Rbm12b2,black,islet,0.601045687,NO,,Rbm12b2,10003838147,1
