,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
114,10004036366.Zdhhc19,black,gastroc,,NO,Zdhhc19,,1,SIGNED
115,516746.Krtap6-5,black,gastroc,,NO,Krtap6-5,,1,SIGNED
116,10002902814.Lefty2,black,gastroc,,NO,Lefty2,,1,SIGNED
117,10002900999.Olfr525,black,gastroc,,NO,Olfr525,,1,SIGNED
118,10004034365.Gm11501,black,gastroc,,NO,Gm11501,,1,SIGNED
119,10002942479.E030013I19Rik,black,gastroc,,NO,E030013I19Rik,,1,SIGNED
120,10002948096.Fam178b,black,gastroc,,NO,Fam178b,,1,SIGNED
121,10004034736.1700030N03Rik,black,gastroc,,NO,1700030N03Rik,,1,SIGNED
122,10002906407.Gm5187,black,gastroc,,NO,Gm5187,,1,SIGNED
123,10002917693.Ldc1,black,gastroc,,NO,Ldc1,,1,SIGNED
124,1376429.Clca4b,black,gastroc,,NO,Clca4b,,1,SIGNED
125,517692.Ube2o,black,gastroc,,NO,Ube2o,,1,SIGNED
126,517610.Cyp2d26,black,gastroc,,NO,Cyp2d26,,1,SIGNED
127,10002939020.Gm14235,black,gastroc,,NO,Gm14235,,1,SIGNED
128,10002678491.Sema6c,black,gastroc,,NO,Sema6c,,1,SIGNED
129,501596.1700030N03Rik,black,gastroc,,NO,1700030N03Rik,,1,SIGNED
130,10004036896.Bex3,black,gastroc,,NO,Bex3,,1,SIGNED
131,10004033249.Tmem44,black,gastroc,,NO,Tmem44,,1,SIGNED
132,10002937165.Cyp2a12,black,gastroc,,NO,Cyp2a12,,1,SIGNED
133,10004036701.4930474M22Rik,black,gastroc,,NO,4930474M22Rik,,1,SIGNED
134,10002916026.Dkkl1,black,gastroc,,NO,Dkkl1,,1,SIGNED
135,10002934707.Olfr1060-ps1,black,gastroc,,NO,Olfr1060-ps1,,1,SIGNED
136,10003844301.Xpo4,black,gastroc,,NO,Xpo4,,1,SIGNED
137,10002940347.Tulp1,black,gastroc,,NO,Tulp1,,1,SIGNED
138,10003837372.Gm10566,black,gastroc,,NO,Gm10566,,1,SIGNED
139,10002903691.Ubxn10,black,gastroc,,NO,Ubxn10,,1,SIGNED
140,10003839534.Man1a2,black,gastroc,,NO,Man1a2,,1,SIGNED
141,501827.Lgi1,black,gastroc,,NO,Lgi1,,1,SIGNED
142,10004034229.Pmm2,black,gastroc,,NO,Pmm2,,1,SIGNED
143,10003842133.Dicer1,black,gastroc,,NO,Dicer1,,1,SIGNED
144,504459.Gm22095,black,gastroc,,NO,Gm22095,,1,SIGNED
145,510359.1700110C19Rik,black,gastroc,,NO,1700110C19Rik,,1,SIGNED
146,10002899883.Colq,black,gastroc,,NO,Colq,,1,SIGNED
147,10002920361.Pcbd1,black,gastroc,,NO,Pcbd1,,1,SIGNED
148,10003837420.Gm28883,black,gastroc,,NO,Gm28883,,1,SIGNED
149,10002904307.Clec2l,black,gastroc,,NO,Clec2l,,1,SIGNED
150,10002897441.Olfr522,black,gastroc,,NO,Olfr522,,1,SIGNED
151,509240.Rxra,black,gastroc,,NO,Rxra,,1,SIGNED
152,502239.Armh1,black,gastroc,,NO,Armh1,,1,SIGNED
153,10002934039.Gm37455,black,gastroc,,NO,Gm37455,,1,SIGNED
154,10002932424.Kif4-ps,black,gastroc,,NO,Kif4-ps,,1,SIGNED
155,502382.Spata3,black,gastroc,,NO,Spata3,,1,SIGNED
156,10002905207.Nipal4,black,gastroc,,NO,Nipal4,,1,SIGNED
157,10002927234.Gm12127,black,gastroc,,NO,Gm12127,,1,SIGNED
158,10002911982.Gm7046,black,gastroc,,NO,Gm7046,,1,SIGNED
159,516263.Sema4d,black,gastroc,,NO,Sema4d,,1,SIGNED
160,499788.Pex16,black,gastroc,,NO,Pex16,,1,SIGNED
161,10002934334.Gm8659,black,gastroc,,NO,Gm8659,,1,SIGNED
162,10003117573.Gm38122,black,gastroc,,NO,Gm38122,,1,SIGNED
163,10002902470.Slc9a5,black,gastroc,,NO,Slc9a5,,1,SIGNED
164,10002907289.Vmn2r73,black,gastroc,,NO,Vmn2r73,,1,SIGNED
165,10003840408.4930535L15Rik,black,gastroc,,NO,4930535L15Rik,,1,SIGNED
166,511630.Krt16,black,gastroc,,NO,Krt16,,1,SIGNED
167,499725.1300014J16Rik,black,gastroc,,NO,1300014J16Rik,,1,SIGNED
168,10004033380.Ntng1,black,gastroc,,NO,Ntng1,,1,SIGNED
169,500922.Cib4,black,gastroc,,NO,Cib4,,1,SIGNED
170,10002905650.Gm12297,black,gastroc,,NO,Gm12297,,1,SIGNED
171,10003836704.Gm44705,black,gastroc,,NO,Gm44705,,1,SIGNED
