,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
209,10002905748.Fastkd1,black,kidney,,NO,Fastkd1,,1,SIGNED
210,511249.Ezh1,black,kidney,,NO,Ezh1,,1,SIGNED
211,10004035122.Pacs1,black,kidney,,NO,Pacs1,,1,SIGNED
212,517115.Ppp2r5d,black,kidney,,NO,Ppp2r5d,,1,SIGNED
213,500560.Rc3h1,black,kidney,,NO,Rc3h1,,1,SIGNED
214,10002919556.Trim8,black,kidney,,NO,Trim8,,1,SIGNED
215,10002907480.Chfr,black,kidney,,NO,Chfr,,1,SIGNED
216,10004035231.Zfp410,black,kidney,,NO,Zfp410,,1,SIGNED
217,508264.Kat6b,black,kidney,,NO,Kat6b,,1,SIGNED
218,505879.Tmem81,black,kidney,,NO,Tmem81,,1,SIGNED
219,506040.Capn1,black,kidney,,NO,Capn1,,1,SIGNED
220,10002906300.Grn,black,kidney,,NO,Grn,,1,SIGNED
221,10004036336.Zfp512b,black,kidney,,NO,Zfp512b,,1,SIGNED
222,10002898287.Irak1,black,kidney,,NO,Irak1,,1,SIGNED
223,10004036053.Mon2,black,kidney,,NO,Mon2,,1,SIGNED
224,10002918081.Slc35c2,black,kidney,,NO,Slc35c2,,1,SIGNED
225,10004034072.Rhbdl3,black,kidney,,NO,Rhbdl3,,1,SIGNED
226,10004037350.Pip4k2c,black,kidney,,NO,Pip4k2c,,1,SIGNED
227,10003836439.Gpi-ps,black,kidney,,NO,Gpi-ps,,1,SIGNED
228,507996.Cdan1,black,kidney,,NO,Cdan1,,1,SIGNED
229,10002919201.Ccp110,black,kidney,,NO,Ccp110,,1,SIGNED
230,517318.Gorasp2,black,kidney,,NO,Gorasp2,,1,SIGNED
231,502666.Smad5,black,kidney,,NO,Smad5,,1,SIGNED
232,10002913128.Susd6,black,kidney,,NO,Susd6,,1,SIGNED
233,509554.Wnk4,black,kidney,,NO,Wnk4,,1,SIGNED
234,516661.Nudt3,black,kidney,,NO,Nudt3,,1,SIGNED
235,10002898352.Itgb5,black,kidney,,NO,Itgb5,,1,SIGNED
236,498052.Crat,black,kidney,,NO,Crat,,1,SIGNED
237,10004033129.Irf9,black,kidney,,NO,Irf9,,1,SIGNED
238,507115.Dnajb14,black,kidney,,NO,Dnajb14,,1,SIGNED
239,10004038387.Atxn7l2,black,kidney,,NO,Atxn7l2,,1,SIGNED
240,10002905437.Creld1,black,kidney,,NO,Creld1,,1,SIGNED
241,10002903594.Eif3b,black,kidney,,NO,Eif3b,,1,SIGNED
242,10004034297.Rhbdd2,black,kidney,,NO,Rhbdd2,,1,SIGNED
243,10002906930.Polg,black,kidney,,NO,Polg,,1,SIGNED
244,10002913626.Rfng,black,kidney,,NO,Rfng,,1,SIGNED
245,10002902083.Cep170,black,kidney,,NO,Cep170,,1,SIGNED
246,10002914572.Vps54,black,kidney,,NO,Vps54,,1,SIGNED
247,10002906368.Usp24,black,kidney,,NO,Usp24,,1,SIGNED
248,518222.Gdi1,black,kidney,,NO,Gdi1,,1,SIGNED
249,515231.Zdhhc5,black,kidney,,NO,Zdhhc5,,1,SIGNED
250,10002909430.Dgka,black,kidney,,NO,Dgka,,1,SIGNED
251,10002678723.Brwd1,black,kidney,,NO,Brwd1,,1,SIGNED
252,10002912264.Rasip1,black,kidney,,NO,Rasip1,,1,SIGNED
