,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
143,10003842875.Gm37416,black,kidney,,NO,Gm37416,,1,UNSIGNED
144,10002904370.Olfr1061,black,kidney,,NO,Olfr1061,,1,UNSIGNED
145,505988.2310026I22Rik,black,kidney,,NO,2310026I22Rik,,1,UNSIGNED
146,509187.1700030J22Rik,black,kidney,,NO,1700030J22Rik,,1,UNSIGNED
147,516104.Olfr889,black,kidney,,NO,Olfr889,,1,UNSIGNED
148,10003115467.Uqcrh,black,kidney,,NO,Uqcrh,,1,UNSIGNED
149,502995.Aloxe3,black,kidney,,NO,Aloxe3,,1,UNSIGNED
150,10002949555.Col24a1,black,kidney,,NO,Col24a1,,1,UNSIGNED
151,10004036372.Olfr971,black,kidney,,NO,Olfr971,,1,UNSIGNED
152,10003838507.Gm46376,black,kidney,,NO,Gm46376,,1,UNSIGNED
153,512000.Ftmt,black,kidney,,NO,Ftmt,,1,UNSIGNED
154,10002900350.Olfr1446,black,kidney,,NO,Olfr1446,,1,UNSIGNED
155,10002909271.Gpr20,black,kidney,,NO,Gpr20,,1,UNSIGNED
156,10004034368.Olfr1447,black,kidney,,NO,Olfr1447,,1,UNSIGNED
157,518091.Trpd52l3,black,kidney,,NO,Trpd52l3,,1,UNSIGNED
158,10004036323.Vmn1r178,black,kidney,,NO,Vmn1r178,,1,UNSIGNED
159,518390.Macrod2,black,kidney,,NO,Macrod2,,1,UNSIGNED
160,10002920111.Tchh,black,kidney,,NO,Tchh,,1,UNSIGNED
161,10002932424.Kif4-ps,black,kidney,,NO,Kif4-ps,,1,UNSIGNED
162,10002934707.Olfr1060-ps1,black,kidney,,NO,Olfr1060-ps1,,1,UNSIGNED
163,10003842815.Gm43675,black,kidney,,NO,Gm43675,,1,UNSIGNED
164,10004036030.Gm33228,black,kidney,,NO,Gm33228,,1,UNSIGNED
165,511425.Serpinb9c,black,kidney,,NO,Serpinb9c,,1,UNSIGNED
166,10004037859.Olfr684,black,kidney,,NO,Olfr684,,1,UNSIGNED
167,10004037199.Olfr938,black,kidney,,NO,Olfr938,,1,UNSIGNED
168,10003844301.Xpo4,black,kidney,,NO,Xpo4,,1,UNSIGNED
169,10003113588.Ap1s2,black,kidney,,NO,Ap1s2,,1,UNSIGNED
170,515056.Kif1a,black,kidney,,NO,Kif1a,,1,UNSIGNED
171,1487915.Gm11959,black,kidney,,NO,Gm11959,,1,UNSIGNED
172,10003838153.Wdr78,black,kidney,,NO,Wdr78,,1,UNSIGNED
173,1475736.Alox8,black,kidney,,NO,Alox8,,1,UNSIGNED
174,10003839194.Gm19761,black,kidney,,NO,Gm19761,,1,UNSIGNED
175,10002928643.Gm50003,black,kidney,,NO,Gm50003,,1,UNSIGNED
176,10002944022.Macrod2,black,kidney,,NO,Macrod2,,1,UNSIGNED
177,10004033469.Olfr1388,black,kidney,,NO,Olfr1388,,1,UNSIGNED
178,512281.Crygf,black,kidney,,NO,Crygf,,1,UNSIGNED
179,10004036452.Olfr59,black,kidney,,NO,Olfr59,,1,UNSIGNED
180,10003845421.Gm14089,black,kidney,,NO,Gm14089,,1,UNSIGNED
181,10003116350.Kcnj6,black,kidney,,NO,Kcnj6,,1,UNSIGNED
182,10003843475.Rpl19-ps5,black,kidney,,NO,Rpl19-ps5,,1,UNSIGNED
183,10002937205.Hprt,black,kidney,,NO,Hprt,,1,UNSIGNED
184,504370.Akap3,black,kidney,,NO,Akap3,,1,UNSIGNED
185,10003843427.Zfpm2,black,kidney,,NO,Zfpm2,,1,UNSIGNED
186,504459.Gm22095,black,kidney,,NO,Gm22095,,1,UNSIGNED
187,10002926255.Gm22468,black,kidney,,NO,Gm22468,,1,UNSIGNED
188,10002926588.Gm26937,black,kidney,,NO,Gm26937,,1,UNSIGNED
189,10004038213.Olfr29-ps1,black,kidney,,NO,Olfr29-ps1,,1,UNSIGNED
190,519638.Psapl1,black,kidney,,NO,Psapl1,,1,UNSIGNED
191,10004038303.Vmn2r110,black,kidney,,NO,Vmn2r110,,1,UNSIGNED
192,10002942905.Cacna1e,black,kidney,,NO,Cacna1e,,1,UNSIGNED
193,10002943675.Cacna1i,black,kidney,,NO,Cacna1i,,1,UNSIGNED
194,10002931069.8430430B14Rik,black,kidney,,NO,8430430B14Rik,,1,UNSIGNED
195,10002924089.Gm15441,black,kidney,,NO,Gm15441,,1,UNSIGNED
196,10002918982.Ankfn1,black,kidney,,NO,Ankfn1,,1,UNSIGNED
197,10002916348.H2-M1,black,kidney,,NO,H2-M1,,1,UNSIGNED
198,10004038132.Lzts1,black,kidney,,NO,Lzts1,,1,UNSIGNED
199,514588.Stil,black,kidney,,NO,Stil,,1,UNSIGNED
200,512988.Cntn5,black,kidney,,NO,Cntn5,,1,UNSIGNED
201,10004034748.Spata6,black,kidney,,NO,Spata6,,1,UNSIGNED
202,10004034570.Olfr1025-ps1,black,kidney,,NO,Olfr1025-ps1,,1,UNSIGNED
203,10002903315.Obox6,black,kidney,,NO,Obox6,,1,UNSIGNED
204,10004035706.Olfr1126,black,kidney,,NO,Olfr1126,,1,UNSIGNED
205,10004033744.Rasd2,black,kidney,,NO,Rasd2,,1,UNSIGNED
206,10004035067.Olfr510,black,kidney,,NO,Olfr510,,1,UNSIGNED
207,10004035182.Olfr653,black,kidney,,NO,Olfr653,,1,UNSIGNED
208,501924.Lcn4,black,kidney,,NO,Lcn4,,1,UNSIGNED
209,10002904990.Gm37800,black,kidney,,NO,Gm37800,,1,UNSIGNED
210,508183.4930517G19Rik,black,kidney,,NO,4930517G19Rik,,1,UNSIGNED
211,10002924064.Gm29640,black,kidney,,NO,Gm29640,,1,UNSIGNED
212,10002901173.Lhx8,black,kidney,,NO,Lhx8,,1,UNSIGNED
213,10002908232.Fam71f2,black,kidney,,NO,Fam71f2,,1,UNSIGNED
214,516130.Bad,black,kidney,,NO,Bad,,1,UNSIGNED
215,10003842283.Gm47811,black,kidney,,NO,Gm47811,,1,UNSIGNED
216,10004037202.Olfr1171-ps1,black,kidney,,NO,Olfr1171-ps1,,1,UNSIGNED
217,10004038072.Olfr704,black,kidney,,NO,Olfr704,,1,UNSIGNED
218,10002925423.Gm14271,black,kidney,,NO,Gm14271,,1,UNSIGNED
219,10003845042.Vgll4,black,kidney,,NO,Vgll4,,1,UNSIGNED
220,10004036901.Olfr862,black,kidney,,NO,Olfr862,,1,UNSIGNED
221,10003837972.Acer3,black,kidney,,NO,Acer3,,1,UNSIGNED
222,10003842639.Gm13013,black,kidney,,NO,Gm13013,,1,UNSIGNED
223,10004037549.Atad1,black,kidney,,NO,Atad1,,1,UNSIGNED
224,10002940012.Gm13373,black,kidney,,NO,Gm13373,,1,UNSIGNED
225,10003837986.Gtf3c1,black,kidney,,NO,Gtf3c1,,1,UNSIGNED
226,10004034481.Zfp931,black,kidney,,NO,Zfp931,,1,UNSIGNED
227,10004033957.Nrxn3,black,kidney,,NO,Nrxn3,,1,UNSIGNED
228,10003837594.1700030A11Rik,black,kidney,,NO,1700030A11Rik,,1,UNSIGNED
229,10002903775.Pgk2,black,kidney,,NO,Pgk2,,1,UNSIGNED
230,512891.Proscos,black,kidney,,NO,Proscos,,1,UNSIGNED
231,10002913561.Kcp,black,kidney,,NO,Kcp,,1,UNSIGNED
232,10003837420.Gm28883,black,kidney,,NO,Gm28883,,1,UNSIGNED
233,516726.Gm45711,black,kidney,,NO,Gm45711,,1,UNSIGNED
234,501270.Adck5,black,kidney,,NO,Adck5,,1,UNSIGNED
235,10002942970.Gm6433,black,kidney,,NO,Gm6433,,1,UNSIGNED
236,10002934346.Olfr997-ps1,black,kidney,,NO,Olfr997-ps1,,1,UNSIGNED
237,10003836321.Kif3a,black,kidney,,NO,Kif3a,,1,UNSIGNED
238,10002940347.Tulp1,black,kidney,,NO,Tulp1,,1,UNSIGNED
239,10004034466.Vmn2r7,black,kidney,,NO,Vmn2r7,,1,UNSIGNED
240,10002940775.4933425M03Rik,black,kidney,,NO,4933425M03Rik,,1,UNSIGNED
241,10002916544.Gm4847,black,kidney,,NO,Gm4847,,1,UNSIGNED
242,503552.Kmt2d,black,kidney,,NO,Kmt2d,,1,UNSIGNED
243,10002901738.Gmnc,black,kidney,,NO,Gmnc,,1,UNSIGNED
244,10003844201.2310079G19Rik,black,kidney,,NO,2310079G19Rik,,1,UNSIGNED
245,10002931660.Gm24282,black,kidney,,NO,Gm24282,,1,UNSIGNED
246,10002932986.Mcm2,black,kidney,,NO,Mcm2,,1,UNSIGNED
247,10003844689.BC048644,black,kidney,,NO,BC048644,,1,UNSIGNED
248,10002943306.Larp6,black,kidney,,NO,Larp6,,1,UNSIGNED
249,503790.Fen1,black,kidney,,NO,Fen1,,1,UNSIGNED
250,10003837702.Tmem229b,black,kidney,,NO,Tmem229b,,1,UNSIGNED
251,10002910986.Igkv4-57-1,black,kidney,,NO,Igkv4-57-1,,1,UNSIGNED
252,10004038056.Olfr685,black,kidney,,NO,Olfr685,,1,UNSIGNED
253,10002934005.Gm38385,black,kidney,,NO,Gm38385,,1,UNSIGNED
254,10004033518.Magea8,black,kidney,,NO,Magea8,,1,UNSIGNED
255,10002930173.Olfr221,black,kidney,,NO,Olfr221,,1,UNSIGNED
256,10002901203.Lipt1,black,kidney,,NO,Lipt1,,1,UNSIGNED
257,10004035747.Rbakdn,black,kidney,,NO,Rbakdn,,1,UNSIGNED
258,10003839001.Nrxn3,black,kidney,,NO,Nrxn3,,1,UNSIGNED
259,10003838537.Mir100hg,black,kidney,,NO,Mir100hg,,1,UNSIGNED
260,10004037099.E230025N22Rik,black,kidney,,NO,E230025N22Rik,,1,UNSIGNED
261,10004037828.Olfr1173,black,kidney,,NO,Olfr1173,,1,UNSIGNED
262,10002916854.Duox1,black,kidney,,NO,Duox1,,1,UNSIGNED
263,10002920105.Gm9991,black,kidney,,NO,Gm9991,,1,UNSIGNED
